Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
MDA,8,498,498,Republic of Moldova,0,715,-,-,715,11.4,19.3,1.4
MNE,8,499,499,Montenegro,0,83,-,-,83,8.5,14.8,1.1
MAR,8,504,504,Morocco,0,2010,-,-,2010,5.0,5.6,0.57
MOZ,8,508,508,Mozambique,0,165,-,-,165,0.98,0.51,0.12
OMN,8,512,512,Oman,0,227,-,-,227,5.2,4.3,0.57
NAM,8,516,516,Namibia,0,65,-,-,65,3.9,2.5,0.43
NPL,8,524,524,Nepal,0,469,-,-,469,1.9,1.6,0.21
NLD,8,528,528,The Netherlands,0,5198,-,-,5198,18.6,35.5,2.3
NCL,8,540,540,New Caledonia,0,31,-,-,31,8.6,11.4,1.1
VUT,8,548,548,Vanuatu,0,3,-,-,3,1.6,0.95,0.21
NZL,8,554,554,New Zealand,0,996,-,-,996,14.8,23.1,1.7
NIC,8,558,558,Nicaragua,0,239,-,-,239,4.2,3.7,0.50
NER,8,562,562,Niger,0,313,-,-,313,2.5,1.2,0.27
NGA,8,566,566,Nigeria,0,2861,-,-,2861,2.5,1.3,0.30
NOR,8,578,578,Norway,0,1410,-,-,1410,18.3,29.4,2.2
PAK,8,586,586,Pakistan,0,4178,-,-,4178,2.4,1.9,0.26
PAN,8,591,591,Panama,0,333,-,-,333,7.4,8.0,0.89
PNG,8,598,598,Papua New Guinea,0,192,-,-,192,3.1,2.1,0.37
PRY,8,600,600,Paraguay,0,631,-,-,631,10.5,9.1,1.3
PER,8,604,604,Peru,0,1717,-,-,1717,4.9,5.4,0.60
PHL,8,608,608,Philippines,0,8592,-,-,8592,9.0,7.9,1.1
POL,8,616,616,Poland,0,6887,-,-,6887,11.1,21.1,1.4
PRT,8,620,620,Portugal,0,2519,-,-,2519,15.0,30.1,1.8
GNB,8,624,624,Guinea-Bissau,0,20,-,-,20,1.8,0.98,0.21
TLS,8,626,626,Timor-Leste,0,33,-,-,33,3.7,2.5,0.42
PRI,8,630,630,Puerto Rico,0,615,-,-,615,14.1,25.8,1.6
QAT,8,634,634,Qatar,0,109,-,-,109,4.5,3.7,0.52
REU,8,638,638,"France, La Réunion",0,109,-,-,109,8.5,13.2,1.0
ROU,8,642,642,Romania,0,3766,-,-,3766,12.3,22.9,1.5
RUS,8,643,643,Russian Federation,0,28870,-,-,28870,12.4,22.1,1.5
RWA,8,646,646,Rwanda,0,139,-,-,139,1.6,1.0,0.17
LCA,8,662,662,Saint Lucia,0,14,-,-,14,6.1,8.2,0.67
STP,8,678,678,Sao Tome and Principe,0,7,-,-,7,5.6,3.1,0.67
SAU,8,682,682,Saudi Arabia,0,1723,-,-,1723,5.0,4.9,0.56
SEN,8,686,686,Senegal,0,223,-,-,223,2.3,1.3,0.26
SRB,8,688,688,Serbia,0,1431,-,-,1431,10.7,19.1,1.3
SLE,8,694,694,Sierra Leone,0,3,-,-,3,0.05,0.04,0.00
SGP,8,702,702,Singapore,0,1365,-,-,1365,12.8,25.1,1.6
