Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
TKM,9,795,795,Turkmenistan,0,66,-,-,66,1.2,1.1,0.11
UGA,9,800,800,Uganda,0,268,-,-,268,1.3,0.56,0.13
UKR,9,804,804,Ukraine,0,1809,-,-,1809,2.9,5.1,0.31
MKD,9,807,807,North Macedonia,0,77,-,-,77,2.7,4.4,0.28
EGY,9,818,818,Egypt,0,568,-,-,568,0.63,0.57,0.06
GBR,9,826,826,United Kingdom,0,1948,-,-,1948,2.2,3.5,0.22
TZA,9,834,834,"Tanzania, United Republic of",0,239,-,-,239,0.69,0.39,0.07
USA,9,840,840,United States of America,0,5855,-,-,5855,1.4,2.1,0.14
BFA,9,854,854,Burkina Faso,0,53,-,-,53,0.37,0.25,0.03
URY,9,858,858,Uruguay,0,54,-,-,54,1.3,1.8,0.14
UZB,9,860,860,Uzbekistan,0,465,-,-,465,1.4,1.4,0.14
VEN,9,862,862,Venezuela,0,331,-,-,331,1.1,1.2,0.11
WSM,9,882,882,Samoa,0,5,-,-,5,3.2,2.6,0.36
YEM,9,887,887,Yemen,0,273,-,-,273,1.5,0.90,0.15
ZMB,9,894,894,Zambia,0,100,-,-,100,1.1,0.53,0.10
,,,,Total,,111844,,,111844,1.4,1.6,0.14
