"Region","LRI_formatted_CC","LRI_formatted_RC","LRI_formatted_CRC","LRM_formatted_CC","LRM_formatted_RC","LRM_formatted_CRC","ISOcode"
"Caribbean","4.18(4.07-4.28)","0.86(0.82-0.90)","5.18(5.07-5.30)","3.00(2.91-3.09)","0.46(0.43-0.50)","3.52(3.42-3.62)",915
"Central America","2.02(1.98-2.07)","0.53(0.51-0.55)","2.62(2.57-2.67)","1.32(1.29-1.36)","0.27(0.25-0.28)","1.61(1.57-1.65)",916
"South-Eastern Asia","1.75(1.73-1.77)","1.37(1.35-1.39)","3.19(3.17-3.22)","1.21(1.19-1.23)","0.92(0.91-0.94)","2.18(2.15-2.20)",920
"Western Asia","2.48(2.44-2.52)","1.17(1.15-1.20)","3.70(3.65-3.75)","1.73(1.69-1.76)","0.72(0.70-0.74)","2.47(2.43-2.51)",922
"Eastern Europe","4.08(4.05-4.11)","2.36(2.34-2.38)","6.53(6.49-6.56)","2.43(2.41-2.45)","1.43(1.42-1.45)","3.91(3.88-3.94)",923
"Northern Europe","5.90(5.84-5.95)","2.76(2.72-2.80)","8.87(8.80-8.94)","2.67(2.63-2.71)","1.73(1.70-1.76)","4.49(4.44-4.55)",924
"Southern Europe","5.82(5.78-5.87)","2.43(2.40-2.45)","8.39(8.34-8.44)","3.21(3.18-3.24)","1.08(1.06-1.10)","4.35(4.31-4.38)",925
"Western Europe","5.21(5.17-5.24)","2.50(2.48-2.52)","7.94(7.89-7.98)","2.54(2.52-2.57)","1.07(1.05-1.08)","3.69(3.66-3.72)",926
"Melanesia","1.13(0.97-1.30)","0.98(0.82-1.13)","2.44(2.20-2.69)","0.80(0.65-0.95)","0.71(0.57-0.86)","1.68(1.46-1.90)",928
"South America","3.24(3.21-3.27)","1.47(1.45-1.49)","4.89(4.85-4.92)","2.02(2.00-2.05)","0.71(0.70-0.73)","2.79(2.76-2.82)",931
"Micronesia","3.32(2.04-4.60)","1.18(0.71-1.66)","4.50(3.14-5.87)","2.82(1.56-4.08)","0.61(0.26-0.97)","3.43(2.12-4.74)",954
"Polynesia","2.07(1.44-2.70)","1.53(0.96-2.09)","3.63(2.78-4.48)","0.98(0.60-1.35)","0.86(0.49-1.23)","1.88(1.34-2.41)",957
"Very High HDI countries","4.95(4.94-4.97)","2.27(2.26-2.28)","7.38(7.36-7.40)","2.61(2.60-2.62)","1.13(1.12-1.13)","3.80(3.78-3.81)",981
"High HDI countries","2.28(2.27-2.28)","1.73(1.72-1.74)","4.08(4.07-4.09)","1.39(1.38-1.40)","1.12(1.11-1.13)","2.56(2.55-2.57)",982
"Medium HDI countries","0.78(0.77-0.79)","0.54(0.53-0.55)","1.39(1.38-1.40)","0.54(0.53-0.54)","0.35(0.34-0.35)","0.92(0.92-0.93)",983
"Low HDI countries","0.79(0.78-0.81)","0.58(0.57-0.60)","1.54(1.51-1.56)","0.61(0.59-0.62)","0.44(0.43-0.45)","1.17(1.15-1.19)",984
