"ISOcode","LRI_CC","LRM_CC","LRI_RC","LRM_RC","LRI_CRC","LRM_CRC","LRI_RC_to_CC","LRM_RC_to_CC","LRI_RC_to_CRC","LRM_RC_to_CRC"
268,1.694255,1.096315,1.722708,1.098926,3.498474,2.23972,1.01679381202948,1.00238161477313,0.492416979517355,0.490653295947708
270,0.073835,0.060619,0.267931,0.242537,0.341757,0.303155,3.62878038870454,4.00100628515812,0.783981015750958,0.800042882353911
275,2.605114,1.906579,1.208748,0.842764,3.827225,2.763227,0.463990443412457,0.442029414988836,0.315828831594693,0.304992677040287
276,4.684066,2.18879,2.462541,1.077481,7.387032,3.348012,0.525727220752227,0.492272442765181,0.333360001689447,0.321827102172871
288,0.330821,0.245528,0.299971,0.241537,0.756177,0.577685,0.90674715329438,0.983745234759376,0.396694160229682,0.41811194682223
300,5.974439,3.251627,0.978097,0.447527,7.088742,3.742935,0.163713613947686,0.13763171483076,0.137978924892456,0.119565795291663
312,3.645396,2.538336,1.365011,0.674032,5.065106,3.240852,0.374447933777291,0.265540889779761,0.269493076749035,0.207979876896569
316,3.939098,3.489165,1.098603,0.538485,5.031818,4.02765,0.278897097761975,0.154330620649926,0.218331227401309,0.133697069010465
320,1.97502,1.226665,0.172845,0.113646,2.155243,1.34445,0.0875155694625877,0.0926463215303282,0.0801974533730071,0.0845297333482093
324,0.138827,0.113868,0.186903,0.149257,0.38749,0.319514,1.34630151195373,1.31078968630344,0.482342770136004,0.467137590215139
328,2.783408,1.687168,0.441868,0.375805,3.238143,2.062973,0.158750711358162,0.222743081898187,0.136457222550085,0.182166707950128
332,3.94496,2.87527,0.387976,0.133038,4.695451,3.244254,0.0983472582738481,0.0462697416242649,0.0826280585187664,0.0410072700842782
340,1.470958,1.286602,0.602187,0.246633,2.161005,1.588647,0.409384224430609,0.191693313083611,0.278660623182269,0.155247200920028
348,6.159052,3.717346,3.234795,1.813267,9.417463,5.559938,0.525209886196772,0.487785371606517,0.343489005478439,0.326130794983685
352,6.035387,3.548137,1.955016,0.439978,8.035861,3.988115,0.323925541145912,0.124002539924473,0.243286438130276,0.110322295119373
356,0.478411,0.334414,0.398269,0.241434,0.945755,0.612217,0.83248294876163,0.721961401137512,0.421112233083621,0.394360169678398
360,1.235282,0.854913,1.044941,0.704522,2.354549,1.603769,0.84591291705052,0.824086193565895,0.443796667642083,0.439291444092011
364,1.795649,1.633899,0.742232,0.525565,2.603098,2.187251,0.413350270570696,0.321663089334163,0.285134097909491,0.24028563708509
368,0.973305,0.707082,0.589438,0.44298,1.59317,1.175334,0.60560461520284,0.626490279769532,0.369978093988714,0.376897120307929
372,5.665197,1.832403,3.331162,2.624617,9.125578,4.513131,0.58800461837426,1.43233611820107,0.365035727052029,0.581551255658212
376,5.080811,3.120351,1.391554,0.705618,6.543063,3.843754,0.273884228324966,0.226134175289895,0.212676234356906,0.183575223596515
380,6.209451,3.29999,2.280574,0.928158,8.682369,4.298808,0.367274659225107,0.281260852305613,0.262667251299732,0.215910550087373
384,0.717226,0.495405,0.290338,0.217026,1.060951,0.745863,0.404806853070023,0.43807793623399,0.273658255659309,0.290973007107203
388,5.249928,3.727609,1.185371,0.905933,6.621075,4.718057,0.225788048902766,0.243033268778995,0.179029991353368,0.192014000678669
392,6.772324,3.362884,3.261043,1.267621,10.059491,4.672943,0.481524953620057,0.376944610637774,0.324175746069061,0.27126823502876
398,1.760574,1.200432,1.430134,0.77474,3.240628,2.024306,0.812311212138768,0.645384328308476,0.44131384410676,0.382718818202386
400,2.25704,1.508939,0.773758,0.519853,3.073653,2.050379,0.342819799383263,0.344515583466263,0.251738891800733,0.25353995529607
404,1.074283,0.830923,0.564522,0.459767,1.772181,1.39049,0.525487231949123,0.553320825154677,0.318546469011912,0.330651065451747
408,1.697452,1.045201,1.748182,1.096611,3.461979,2.152479,1.02988597026602,1.0491867114555,0.504966090204475,0.509464203831954
410,4.118933,2.29774,2.354177,1.338049,6.541091,3.669099,0.571550204871019,0.582332639898335,0.359905862798729,0.364680538737167
414,2.003467,1.200981,0.792106,0.441951,2.816461,1.647136,0.395367630213026,0.367991666812381,0.281241600718064,0.268314820391273
417,0.773395,0.52324,0.859454,0.590035,1.676909,1.166125,1.11127431648769,1.12765652473053,0.512522742736785,0.505979204630721
418,1.460057,1.023486,1.136265,0.853382,2.62916,1.902875,0.77823331554864,0.833799387583221,0.432177957978974,0.448469815410891
422,2.238065,1.570277,0.725322,0.478144,3.014327,2.082961,0.324084421140584,0.304496595186709,0.240624855896523,0.22955014520195
426,0.803544,0.633475,0.427876,0.333466,1.265671,1.001548,0.532486086636202,0.526407514108686,0.338062577083618,0.332950592482837
