"ISOcode","cancer_type","distribution_method","risk_calculation","LRI_lifetime_risk","LRI_lifetime_risk_percent","LRI_variance","LRI_std_error","LRI_std_error_percent","LRI_ci_lower","LRI_ci_upper","LRI_ci_lower_percent","LRI_ci_upper_percent","LRI_n_age_groups","LRI_note","LRM_lifetime_risk","LRM_lifetime_risk_percent","LRM_variance","LRM_std_error","LRM_std_error_percent","LRM_ci_lower","LRM_ci_upper","LRM_ci_lower_percent","LRM_ci_upper_percent","LRM_n_age_groups","LRM_note"
981,"colon","Poisson","both",0.0495491184472198,4.954912,4.82070492102389e-09,6.94312964089242e-05,0.006943,0.0494130331062583,0.0496852037881813,4.941303,4.96852,18,"Success",0.0260909196234304,2.609092,2.90217844638771e-09,5.38718706412512e-05,0.005387,0.0259853307569736,0.0261965084898873,2.598533,2.619651,18,"Success"
600,"colon","Poisson","both",0.0494338075979907,4.943381,3.57843571941908e-06,0.00189167537368838,0.189168,0.0457261238655614,0.0531414913304199,4.572612,5.314149,18,"Success",0.0263143209171345,2.631432,2.14720624701203e-06,0.00146533485832148,0.146533,0.0234422645948244,0.0291863772394446,2.344226,2.918638,18,"Success"
246,"colon","Poisson","both",0.0479614514903928,4.796145,1.04937118174811e-06,0.0010243881987548,0.102439,0.0459536506208334,0.0499692523599522,4.595365,4.996925,18,"Success",0.0204820848025733,2.048208,4.76873851902318e-07,0.00069056053456762,0.069056,0.0191285861548208,0.0218355834503259,1.912859,2.183558,18,"Success"
705,"colon","Poisson","both",0.0478780296501936,4.787803,3.0290191741939e-06,0.00174040776089798,0.174041,0.0444668304388336,0.0512892288615536,4.446683,5.128923,18,"Success",0.0288751317459331,2.887513,2.17403846522024e-06,0.00147446209351758,0.147446,0.0259851860426387,0.0317650774492276,2.598519,3.176508,18,"Success"
616,"colon","Poisson","both",0.0471781731995702,4.717817,1.86826206616334e-07,0.000432233972075697,0.043223,0.0463309946143018,0.0480253517848386,4.633099,4.802535,18,"Success",0.0329842067290953,3.298421,1.44964651973932e-07,0.000380742238232025,0.038074,0.0322379519421605,0.03373046151603,3.223795,3.373046,18,"Success"
276,"colon","Poisson","both",0.0468406595745367,4.684066,6.50702020407615e-08,0.000255088616054816,0.025509,0.0463406858870692,0.0473406332620041,4.634069,4.734063,18,"Success",0.0218878998737685,2.18879,3.13186161190977e-08,0.00017697066457212,0.017697,0.0215410373712071,0.0222347623763298,2.154104,2.223476,18,"Success"
756,"colon","Poisson","both",0.0460762762033816,4.607628,7.61787289877661e-07,0.000872804267792992,0.08728,0.0443655798385073,0.0477869725682559,4.436558,4.778697,18,"Success",0.0204508466126744,2.045085,3.77303078478384e-07,0.000614250013006417,0.061425,0.0192469165871818,0.021654776638167,1.924692,2.165478,18,"Success"
203,"colon","Poisson","both",0.0456732280095182,4.567323,5.97405371302411e-07,0.000772920029047256,0.077292,0.0441583047525855,0.0471881512664508,4.41583,4.718815,18,"Success",0.0241745849522942,2.417458,3.5861056564081e-07,0.000598841018669238,0.059884,0.0230008565557025,0.0253483133488859,2.300086,2.534831,18,"Success"
196,"colon","Poisson","both",0.0452288528605632,4.522885,6.64473565409354e-06,0.00257773847666778,0.257774,0.0401764854462944,0.0502812202748321,4.017649,5.028122,18,"Success",0.0368448191131451,3.684482,6.27750636262992e-06,0.00250549523300882,0.25055,0.0319340484564478,0.0417555897698424,3.193405,4.175559,18,"Success"
474,"colon","Poisson","both",0.0441397220495699,4.413972,1.69310268036764e-05,0.00411473289578758,0.411473,0.0360748455738263,0.0522045985253136,3.607485,5.22046,16,"Success",0.0286844695064449,2.868447,1.28323582384839e-05,0.00358222811089466,0.358223,0.0216633024090914,0.0357056366037984,2.16633,3.570564,16,"Success"
