"ISOcode","cancer_type","distribution_method","risk_calculation","LRI_lifetime_risk","LRI_lifetime_risk_percent","LRI_variance","LRI_std_error","LRI_std_error_percent","LRI_ci_lower","LRI_ci_upper","LRI_ci_lower_percent","LRI_ci_upper_percent","LRI_n_age_groups","LRI_note","LRM_lifetime_risk","LRM_lifetime_risk_percent","LRM_variance","LRM_std_error","LRM_std_error_percent","LRM_ci_lower","LRM_ci_upper","LRM_ci_lower_percent","LRM_ci_upper_percent","LRM_n_age_groups","LRM_note"
12,"rectum","Poisson","both",0.0155997761559174,1.559978,1.66819195379639e-07,0.000408435056501812,0.040844,0.0147992434451739,0.016400308866661,1.479924,1.640031,18,"Success",0.0120383427749529,1.203834,1.71142918304011e-07,0.000413694232862885,0.041369,0.0112275020785416,0.0128491834713641,1.12275,1.284918,18,"Success"
882,"rectum","Poisson","both",0.0155221652488702,1.552217,2.01173648717609e-05,0.00448523855238057,0.448524,0.00673109768620426,0.0243132328115361,0.67311,2.431323,18,"Success",0.00981658181292812,0.981658,1.52904562119066e-05,0.00391030129426194,0.39103,0.00215239127617473,0.0174807723496815,0.215239,1.748077,18,"Success"
40,"rectum","Poisson","both",0.0153329586536969,1.533296,1.88069207513829e-07,0.000433669468044303,0.043367,0.0144829664963301,0.0161829508110638,1.448297,1.618295,18,"Success",0.00996410176947884,0.99641,1.44523450048811e-07,0.000380162399572619,0.038016,0.0092189834663165,0.0107092200726412,0.921898,1.070922,18,"Success"
957,"rectum","Poisson","both",0.0152620691135976,1.526207,8.29489178332514e-06,0.00288008537778399,0.288009,0.00961710177314094,0.0209070364540542,0.96171,2.090704,18,"Success",0.00856694630847591,0.856695,3.59595509880654e-06,0.0018963003714619,0.18963,0.00485019758041059,0.0122836950365412,0.48502,1.22837,18,"Success"
152,"rectum","Poisson","both",0.0151385304856952,1.513853,1.59293588178858e-07,0.000399116008422186,0.039912,0.0143562631091877,0.0159207978622027,1.435626,1.59208,18,"Success",0.00842175597647196,0.842176,1.02211893317799e-07,0.000319705948205221,0.031971,0.00779513231798973,0.0090483796349542,0.779513,0.904838,18,"Success"
499,"rectum","Poisson","both",0.014669647472762,1.466965,3.131736232867e-06,0.00176967122168695,0.176967,0.0112010918782555,0.0181382030672684,1.120109,1.81382,18,"Success",0.00928347459502484,0.928347,2.34284522217194e-06,0.00153063556151422,0.153064,0.00628342889445697,0.0122835202955927,0.628343,1.228352,18,"Success"
931,"rectum","Poisson","both",0.014666871384939,1.466687,9.31540069799668e-09,9.65163234794855e-05,0.009652,0.0144776993909192,0.0148560433789588,1.44777,1.485604,18,"Success",0.00712478756256966,0.712479,5.07693547588687e-09,7.12526173265717e-05,0.007125,0.00698513243260958,0.00726444269252974,0.698513,0.726444,18,"Success"
905,"rectum","Poisson","both",0.0144333824237818,1.443338,5.18408099876389e-09,7.20005624892187e-05,0.0072,0.014292261321303,0.0145745035262607,1.429226,1.45745,18,"Success",0.00690830865076862,0.690831,3.5160975874219e-09,5.92966912012964e-05,0.00593,0.00679208713601408,0.00702453016552316,0.679209,0.702453,18,"Success"
398,"rectum","Poisson","both",0.0143013429024882,1.430134,2.37555394640618e-07,0.000487396547628949,0.04874,0.0133460456691355,0.015256640135841,1.334605,1.525664,18,"Success",0.00774739661437606,0.77474,1.37621922969393e-07,0.000370974288825241,0.037097,0.00702028700827859,0.00847450622047354,0.702029,0.847451,18,"Success"
682,"rectum","Poisson","both",0.0142615755136061,1.426158,4.17114609727721e-07,0.000645844106366019,0.064584,0.0129957210651287,0.0155274299620835,1.299572,1.552743,18,"Success",0.00906564912858398,0.906565,3.4968629350678e-07,0.000591342788496469,0.059134,0.0079066172631309,0.0102246809940371,0.790662,1.022468,18,"Success"
434,"rectum","Poisson","both",0.0142488845751673,1.424888,1.36281581348724e-06,0.00116739702478944,0.11674,0.01196078640658,0.0165369827437546,1.196079,1.653698,18,"Success",0.0145984751939961,1.459848,1.76800113189716e-06,0.00132966203672105,0.132966,0.0119923376020228,0.0172046127859693,1.199234,1.720461,18,"Success"
792,"rectum","Poisson","both",0.0140751377175247,1.407514,3.83474972916571e-08,0.000195825170219911,0.019583,0.0136913203838936,0.0144589550511557,1.369132,1.445896,18,"Success",0.00785107264536988,0.785107,2.79462077875151e-08,0.000167171193055248,0.016717,0.00752341710698159,0.00817872818375817,0.752342,0.817873,18,"Success"
376,"rectum","Poisson","both",0.0139155372352685,1.391554,3.19500623348728e-07,0.000565243861840824,0.056524,0.0128076592660605,0.0150234152044766,1.280766,1.502342,18,"Success",0.0070561773721291,0.705618,2.24731682046075e-07,0.000474058732696778,0.047406,0.00612702225604342,0.00798533248821479,0.612702,0.798533,18,"Success"
920,"rectum","Poisson","both",0.0136992335097885,1.369923,7.45281817908826e-09,8.6329706237704e-05,0.008633,0.0135300272855626,0.0138684397340144,1.353003,1.386844,18,"Success",0.00923230816088652,0.923231,6.27445796928546e-09,7.92114762473561e-05,0.007921,0.00907705366744171,0.00938756265433134,0.907705,0.938756,18,"Success"
840,"rectum","Poisson","both",0.0136815323671593,1.368153,5.37036900412798e-09,7.32828015575822e-05,0.007328,0.0135378980761064,0.0138251666582121,1.35379,1.382517,18,"Success",0.00585744644619605,0.585745,3.1807052894604e-09,5.63977418826357e-05,0.00564,0.00574690687210608,0.00596798602028601,0.574691,0.596799,18,"Success"
312,"rectum","Poisson","both",0.0136501069930051,1.365011,4.00507087371283e-06,0.00200126731690517,0.200127,0.00972762305187095,0.0175725909341392,0.972762,1.757259,18,"Success",0.00674031613062527,0.674032,2.60834697019396e-06,0.0016150377612285,0.161504,0.00357484211861741,0.00990579014263312,0.357484,0.990579,18,"Success"
630,"rectum","Poisson","both",0.0134454221496457,1.344542,4.70452551644375e-07,0.0006858954378361,0.06859,0.0121010670914869,0.0147897772078044,1.210107,1.478978,18,"Success",0.00735611503502845,0.735612,3.21577302609787e-07,0.000567077862916361,0.056708,0.00624464242371239,0.00846758764634452,0.624464,0.846759,18,"Success"
780,"rectum","Poisson","both",0.0130647566325005,1.306476,2.7482478759989e-06,0.00165778402574005,0.165778,0.00981549994204997,0.016314013322951,0.98155,1.631401,18,"Success",0.00745762810169712,0.745763,1.9400938588299e-06,0.00139287252066723,0.139287,0.00472759796118934,0.0101876582422049,0.47276,1.018766,18,"Success"
784,"rectum","Poisson","both",0.0126093252032519,1.260933,4.76120627927788e-06,0.00218201885401522,0.218202,0.00833256824938204,0.0168860821571217,0.833257,1.688608,18,"Success",0.00864100401332098,0.8641,4.32217836227059e-06,0.00207898493555643,0.207898,0.00456619353963037,0.0127158144870116,0.456619,1.271581,18,"Success"
275,"rectum","Poisson","both",0.0120874772235824,1.208748,1.99550950585589e-06,0.00141262504078608,0.141263,0.00931873214364165,0.0148562223035231,0.931873,1.485622,18,"Success",0.00842763909722747,0.842764,1.73598250938591e-06,0.00131756688990954,0.131757,0.00584520799300477,0.0110100702014502,0.584521,1.101007,18,"Success"
462,"rectum","Poisson","both",0.0119336554939666,1.193366,1.63858891865422e-05,0.00404794876283559,0.404795,0.0039996759188088,0.0198676350691243,0.399968,1.986764,18,"Success",0.00750984258174817,0.750984,1.42528384840203e-05,0.00377529316530786,0.377529,0.000110267977744759,0.0149094171857516,0.011027,1.490942,18,"Success"
388,"rectum","Poisson","both",0.0118537096649319,1.185371,1.50428233248704e-06,0.00122649188031843,0.122649,0.00944978557950778,0.014257633750356,0.944979,1.425763,18,"Success",0.0090593318778932,0.905933,1.39678518670308e-06,0.00118185666927216,0.118186,0.00674289280611977,0.0113757709496666,0.674289,1.137577,18,"Success"
954,"rectum","Poisson","both",0.0118357346522683,1.183573,5.82574702246703e-06,0.00241365843119258,0.241366,0.00710496412713085,0.0165665051774058,0.710496,1.656651,18,"Success",0.00614203009478186,0.614203,3.28955231980629e-06,0.00181371230348319,0.181371,0.00258715397995482,0.00969690620960891,0.258715,0.969691,18,"Success"
51,"rectum","Poisson","both",0.0118309530035111,1.183095,7.68805872788352e-07,0.000876815757607237,0.087682,0.010112394118601,0.0135495118884213,1.011239,1.354951,18,"Success",0.00790351337970784,0.790351,5.8814047195099e-07,0.000766903169866307,0.07669,0.00640038316676988,0.0094066435926458,0.640038,0.940664,18,"Success"
922,"rectum","Poisson","both",0.0117139315624353,1.171393,1.64171907884143e-08,0.000128129585921497,0.012813,0.0114627975740291,0.0119650655508414,1.14628,1.196507,18,"Success",0.00718389240388243,0.718389,1.28920672662e-08,0.000113543239632309,0.011354,0.00696134765420311,0.00740643715356176,0.696135,0.740644,18,"Success"
634,"rectum","Poisson","both",0.01161433099868,1.161433,1.58502171160254e-05,0.00398123311500663,0.398123,0.00381111409326697,0.019417547904093,0.381111,1.941755,18,"Success",0.00853252506646763,0.853253,1.51303100701397e-05,0.00388976992509065,0.388977,0.000908576013289965,0.0161564741196453,0.090858,1.615647,18,"Success"
188,"rectum","Poisson","both",0.0113929749404257,1.139297,5.95085148813193e-07,0.000771417622830328,0.077142,0.00988099639967827,0.0129049534811732,0.9881,1.290495,18,"Success",0.00699131554899751,0.699132,4.24364723766348e-07,0.000651432823678964,0.065143,0.00571450721458674,0.00826812388340828,0.571451,0.826812,18,"Success"
418,"rectum","Poisson","both",0.0113626536801801,1.136265,7.95033977318985e-07,0.000891646778337131,0.089165,0.0096150259946393,0.0131102813657209,0.961503,1.311028,18,"Success",0.00853381853045249,0.853382,7.13212327141905e-07,0.000844518991581542,0.084452,0.00687856130695267,0.0101890757539523,0.687856,1.018908,18,"Success"
788,"rectum","Poisson","both",0.0112109320140476,1.121093,3.32912593499751e-07,0.000576985782753571,0.057699,0.0100800398798506,0.0123418241482446,1.008004,1.234182,18,"Success",0.00777703548465664,0.777704,3.05145315973276e-07,0.000552399598092971,0.05524,0.00669433227239442,0.00885973869691887,0.669433,0.885974,18,"Success"
170,"rectum","Poisson","both",0.0111168333443369,1.111683,7.70124921498531e-08,0.000277511246888938,0.027751,0.0105729113004346,0.0116607553882392,1.057291,1.166076,18,"Success",0.00621376655172302,0.621377,4.96677993798048e-08,0.000222862736633572,0.022286,0.00577695558792122,0.00665057751552482,0.577696,0.665058,18,"Success"
116,"rectum","Poisson","both",0.0111026402975546,1.110264,3.97123346933656e-07,0.000630177234540931,0.063018,0.00986749291785434,0.0123377876772548,0.986749,1.233779,18,"Success",0.00891116108774051,0.891116,3.72403267793747e-07,0.00061024852953018,0.061025,0.00771507396986136,0.0101072482056197,0.771507,1.010725,18,"Success"
316,"rectum","Poisson","both",0.0109860310057751,1.098603,1.16212436899509e-05,0.00340899452770914,0.340899,0.00430440173146518,0.017667660280085,0.43044,1.766766,18,"Success",0.00538484660934461,0.538485,6.30641033373452e-06,0.00251125672397995,0.251126,0.000462783430343902,0.0103069097883453,0.046278,1.030691,18,"Success"
480,"rectum","Poisson","both",0.0109817914648046,1.098179,1.88924557073335e-06,0.00137449829782847,0.13745,0.00828777480106078,0.0136758081285484,0.828777,1.367581,18,"Success",0.00654728993971185,0.654729,1.50192826692547e-06,0.00122553183023758,0.122553,0.0041452475524462,0.0089493323269775,0.414525,0.894933,18,"Success"
360,"rectum","Poisson","both",0.0104494130256859,1.044941,1.39884128339023e-08,0.00011827262081269,0.011827,0.0102175986888931,0.0106812273624788,1.02176,1.068123,18,"Success",0.00704521640947449,0.704522,1.16382527295595e-08,0.000107880733820083,0.010788,0.00683377017118712,0.00725666264776185,0.683377,0.725666,18,"Success"
504,"rectum","Poisson","both",0.0104241077156186,1.042411,1.14302186816172e-07,0.000338086064214679,0.033809,0.0097614590297578,0.0110867564014793,0.976146,1.108676,18,"Success",0.00742159867010004,0.74216,1.15003900256803e-07,0.000339122249722432,0.033912,0.00675691906064408,0.00808627827955601,0.675692,0.808628,18,"Success"
760,"rectum","Poisson","both",0.0103570939744579,1.035709,4.47114149957615e-07,0.000668665947957285,0.066867,0.00904650871646162,0.0116676792324542,0.904651,1.166768,18,"Success",0.0073607868665916,0.736079,3.31208105095962e-07,0.000575506824543343,0.057551,0.00623279349048665,0.00848878024269655,0.623279,0.848878,18,"Success"
512,"rectum","Poisson","both",0.0102380021552542,1.0238,2.56244790923453e-06,0.00160076478885392,0.160076,0.00710050316910052,0.0133755011414079,0.71005,1.33755,18,"Success",0.00744493446026996,0.744493,2.33179557252884e-06,0.00152702179831489,0.152702,0.00445197173557278,0.0104378971849671,0.445197,1.04379,18,"Success"
