"ISOcode","LRI_CC","LRM_CC","LRI_RC","LRM_RC","LRI_CRC","LRM_CRC"
232,0.665218,0.563238,0.604118,0.511094,1.278905,1.083026
233,5.532663,3.20719,2.867604,1.606405,8.481364,4.876369
242,1.268612,0.936073,1.021642,0.872282,2.366376,1.808356
246,4.796145,2.048208,2.441283,1.025243,7.298914,3.11217
250,5.682179,2.977891,2.654752,1.064119,8.582183,4.128584
254,2.775512,1.859095,0.716042,0.660055,3.60704,2.519151
258,2.163349,0.784071,1.860372,0.859275,4.096111,1.731567
262,0.535272,0.425266,0.361522,0.314958,0.896709,0.740224
266,0.434557,0.301859,0.223282,0.106672,0.753519,0.461634
268,1.694255,1.096315,1.722708,1.098926,3.498474,2.23972
270,0.073835,0.060619,0.267931,0.242537,0.341757,0.303155
275,2.605114,1.906579,1.208748,0.842764,3.827225,2.763227
276,4.684066,2.18879,2.462541,1.077481,7.387032,3.348012
288,0.330821,0.245528,0.299971,0.241537,0.756177,0.577685
300,5.974439,3.251627,0.978097,0.447527,7.088742,3.742935
312,3.645396,2.538336,1.365011,0.674032,5.065106,3.240852
316,3.939098,3.489165,1.098603,0.538485,5.031818,4.02765
320,1.97502,1.226665,0.172845,0.113646,2.155243,1.34445
324,0.138827,0.113868,0.186903,0.149257,0.38749,0.319514
328,2.783408,1.687168,0.441868,0.375805,3.238143,2.062973
332,3.94496,2.87527,0.387976,0.133038,4.695451,3.244254
340,1.470958,1.286602,0.602187,0.246633,2.161005,1.588647
348,6.159052,3.717346,3.234795,1.813267,9.417463,5.559938
352,6.035387,3.548137,1.955016,0.439978,8.035861,3.988115
356,0.478411,0.334414,0.398269,0.241434,0.945755,0.612217
360,1.235282,0.854913,1.044941,0.704522,2.354549,1.603769
364,1.795649,1.633899,0.742232,0.525565,2.603098,2.187251
368,0.973305,0.707082,0.589438,0.44298,1.59317,1.175334
372,5.665197,1.832403,3.331162,2.624617,9.125578,4.513131
376,5.080811,3.120351,1.391554,0.705618,6.543063,3.843754
380,6.209451,3.29999,2.280574,0.928158,8.682369,4.298808
384,0.717226,0.495405,0.290338,0.217026,1.060951,0.745863
388,5.249928,3.727609,1.185371,0.905933,6.621075,4.718057
392,6.772324,3.362884,3.261043,1.267621,10.059491,4.672943
398,1.760574,1.200432,1.430134,0.77474,3.240628,2.024306
400,2.25704,1.508939,0.773758,0.519853,3.073653,2.050379
404,1.074283,0.830923,0.564522,0.459767,1.772181,1.39049
408,1.697452,1.045201,1.748182,1.096611,3.461979,2.152479
410,4.118933,2.29774,2.354177,1.338049,6.541091,3.669099
414,2.003467,1.200981,0.792106,0.441951,2.816461,1.647136
417,0.773395,0.52324,0.859454,0.590035,1.676909,1.166125
418,1.460057,1.023486,1.136265,0.853382,2.62916,1.902875
422,2.238065,1.570277,0.725322,0.478144,3.014327,2.082961
426,0.803544,0.633475,0.427876,0.333466,1.265671,1.001548
428,3.159348,1.787957,2.370362,1.589363,5.64561,3.455241
430,0.419519,0.342211,0.251994,0.206333,0.716605,0.593726
434,2.833533,3.075377,1.424888,1.459848,4.297278,4.560712
440,3.133405,2.039637,1.895455,1.371538,5.134981,3.483836
442,5.560644,2.314311,1.931128,0.881551,7.551329,3.195862
450,0.369465,0.324301,0.530539,0.450616,1.143152,0.977726
454,0.375287,0.314637,0.330269,0.243874,0.832459,0.650235
458,2.598243,1.909556,1.952421,1.404241,4.645006,3.379278
462,1.767493,1.559389,1.193366,0.750984,2.958847,2.310373
466,0.665413,0.517349,0.580747,0.45146,1.338761,1.047059
470,5.432401,2.683346,2.258632,1.353662,7.746374,4.037008
474,4.413972,2.868447,1.609223,0.646465,6.122511,3.514912
478,0.590069,0.417537,0.393531,0.320129,1.106477,0.844967
480,2.833924,1.720016,1.098179,0.654729,3.976993,2.374745
484,1.928176,1.252516,0.520261,0.246899,2.5074,1.516542
496,1.098431,0.645171,0.347007,0.467558,1.530207,1.124448
498,3.666749,2.419694,2.301478,1.636293,5.988387,4.060906
499,2.997599,2.223849,1.466965,0.928347,4.570223,3.228962
504,1.522804,1.107192,1.042411,0.74216,2.693752,1.932973
508,0.419428,0.380134,0.335475,0.286167,0.891839,0.779391
512,1.411693,1.034863,1.0238,0.744493,2.585756,1.888371
516,0.719703,0.533551,0.49875,0.397788,1.290585,0.984317
524,0.504604,0.347547,0.355689,0.215069,0.881273,0.574809
528,7.114174,3.483105,3.061205,1.20823,10.308596,4.74141
540,3.298126,1.470498,1.807268,0.760565,5.155336,2.231063
548,0.482814,0.482814,0.478769,0.478769,0.996529,0.996529
554,7.396037,3.845698,3.264408,1.500258,10.784096,5.43108
558,2.577493,1.585603,0.641551,0.404672,3.334909,2.046756
562,0.53618,0.441395,0.217886,0.186936,0.852407,0.705685
566,0.469077,0.367741,0.366581,0.294334,1.036396,0.828694
578,9.35766,4.537258,3.313637,1.310713,12.796723,5.900099
586,0.541202,0.380371,0.371886,0.211368,0.973226,0.620913
591,3.316507,1.837194,1.006389,0.503841,4.408667,2.408552
598,1.028237,0.777952,0.977632,0.776607,2.45213,1.791407
600,4.943381,2.631432,0.822688,0.415133,5.987248,3.132064
604,2.47994,1.474701,0.548773,0.292363,3.143249,1.807882
608,3.663625,2.706161,1.676632,1.174893,5.386156,3.91075
616,4.717817,3.298421,3.085483,1.80947,7.924457,5.195617
620,6.362969,3.515518,3.175835,1.504045,9.675511,5.072564
624,0.281044,0.22996,0.193572,0.17348,0.493889,0.422744
626,0.915917,0.625571,0.684023,0.514606,1.599224,1.140177
630,4.02114,2.535816,1.344542,0.735612,5.494582,3.299012
