"ISOcode","AgeStart","AgeEnd","Ri"
148,65,69,12
148,70,74,9
148,75,79,18
148,80,84,0
148,85,999,0
152,0,4,0
152,5,9,0
152,10,14,0
152,15,19,0
152,20,24,17
152,25,29,25
152,30,34,27
152,35,39,48
152,40,44,110
152,45,49,224
152,50,54,372
152,55,59,599
152,60,64,833
152,65,69,1001
152,70,74,989
152,75,79,887
152,80,84,737
152,85,999,909
156,0,4,0
156,5,9,0
156,10,14,148
156,15,19,239
156,20,24,506
156,25,29,1554
156,30,34,4125
156,35,39,6052
156,40,44,10194
156,45,49,20691
156,50,54,47598
156,55,59,57082
156,60,64,60299
156,65,69,92532
156,70,74,81043
156,75,79,59243
156,80,84,43466
156,85,999,32334
170,0,4,0
170,5,9,0
170,10,14,2
170,15,19,22
170,20,24,75
170,25,29,47
170,30,34,74
170,35,39,182
170,40,44,348
170,45,49,548
170,50,54,831
170,55,59,1200
170,60,64,1447
170,65,69,1601
170,70,74,1547
170,75,79,1252
170,80,84,963
170,85,999,1024
174,0,4,0
174,5,9,0
174,10,14,0
174,15,19,0
174,20,24,0
174,25,29,0
174,30,34,0
174,35,39,0
174,40,44,0
174,45,49,0
174,50,54,1
174,55,59,3
174,60,64,3
174,65,69,4
174,70,74,4
174,75,79,2
174,80,84,0
174,85,999,0
178,0,4,0
178,5,9,0
178,10,14,0
178,15,19,0
178,20,24,3
178,25,29,4
178,30,34,4
178,35,39,6
178,40,44,14
178,45,49,22
178,50,54,27
178,55,59,33
178,60,64,20
178,65,69,15
178,70,74,10
178,75,79,6
178,80,84,3
178,85,999,1
180,0,4,0
180,5,9,0
180,10,14,39
180,15,19,33
180,20,24,67
180,25,29,104
180,30,34,109
180,35,39,106
180,40,44,177
180,45,49,243
180,50,54,303
180,55,59,343
180,60,64,355
180,65,69,342
180,70,74,304
180,75,79,229
180,80,84,134
180,85,999,73
188,0,4,0
188,5,9,0
188,10,14,0
188,15,19,0
188,20,24,4
188,25,29,5
188,30,34,10
188,35,39,14
188,40,44,26
188,45,49,41
188,50,54,65
188,55,59,107
188,60,64,141
188,65,69,155
188,70,74,164
188,75,79,148
188,80,84,115
188,85,999,126
191,0,4,0
191,5,9,0
191,10,14,0
191,15,19,0
191,20,24,3
191,25,29,5
191,30,34,10
191,35,39,16
191,40,44,50
191,45,49,95
191,50,54,171
191,55,59,328
191,60,64,528
191,65,69,721
191,70,74,735
191,75,79,569
191,80,84,513
191,85,999,446
192,0,4,0
192,5,9,0
192,10,14,0
192,15,19,16
192,20,24,1
192,25,29,6
192,30,34,8
192,35,39,14
192,40,44,36
192,45,49,110
192,50,54,267
192,55,59,504
192,60,64,586
192,65,69,658
192,70,74,768
192,75,79,737
192,80,84,629
192,85,999,673
196,0,4,0
196,5,9,0
196,10,14,0
196,15,19,0
196,20,24,0
196,25,29,0
196,30,34,2
196,35,39,5
196,40,44,11
196,45,49,18
196,50,54,30
196,55,59,48
196,60,64,65
196,65,69,77
196,70,74,85
196,75,79,86
196,80,84,71
196,85,999,70
203,0,4,0
203,5,9,0
203,10,14,5
203,15,19,6
203,20,24,10
203,25,29,22
203,30,34,22
203,35,39,39
203,40,44,101
203,45,49,232
203,50,54,353
203,55,59,577
203,60,64,819
203,65,69,1253
203,70,74,1451
203,75,79,1240
203,80,84,783
203,85,999,655
204,0,4,0
204,5,9,0
204,10,14,0
204,15,19,4
204,20,24,8
204,25,29,21
204,30,34,22
204,35,39,19
204,40,44,26
204,45,49,31
204,50,54,46
204,55,59,57
204,60,64,55
204,65,69,51
204,70,74,53
204,75,79,47
204,80,84,35
204,85,999,23
208,0,4,0
208,5,9,0
208,10,14,2
208,15,19,2
208,20,24,3
208,25,29,11
208,30,34,16
208,35,39,19
208,40,44,51
208,45,49,123
208,50,54,266
208,55,59,531
208,60,64,739
208,65,69,994
208,70,74,1208
208,75,79,1318
208,80,84,864
208,85,999,731
214,0,4,0
214,5,9,0
214,10,14,0
214,15,19,5
214,20,24,7
214,25,29,9
214,30,34,21
214,35,39,44
214,40,44,71
214,45,49,102
214,50,54,136
214,55,59,216
214,60,64,248
214,65,69,276
214,70,74,222
214,75,79,167
214,80,84,123
214,85,999,135
218,0,4,0
218,5,9,0
218,10,14,2
218,15,19,8
218,20,24,11
218,25,29,27
218,30,34,21
218,35,39,42
218,40,44,76
218,45,49,126
218,50,54,189
218,55,59,245
218,60,64,284
218,65,69,325
218,70,74,322
218,75,79,297
218,80,84,260
218,85,999,296
222,0,4,0
222,5,9,0
222,10,14,0
222,15,19,1
222,20,24,4
222,25,29,9
222,30,34,13
222,35,39,23
222,40,44,34
222,45,49,41
222,50,54,47
222,55,59,53
222,60,64,60
222,65,69,68
222,70,74,80
222,75,79,84
222,80,84,84
222,85,999,91
226,0,4,0
226,5,9,0
226,10,14,0
226,15,19,0
226,20,24,3
226,25,29,2
226,30,34,5
226,35,39,7
226,40,44,4
226,45,49,6
226,50,54,5
226,55,59,6
226,60,64,8
226,65,69,2
226,70,74,1
226,75,79,0
226,80,84,0
226,85,999,0
231,0,4,0
231,5,9,0
231,10,14,14
231,15,19,16
231,20,24,217
231,25,29,273
231,30,34,321
231,35,39,450
231,40,44,499
231,45,49,672
231,50,54,767
231,55,59,746
231,60,64,785
231,65,69,690
231,70,74,503
231,75,79,349
231,80,84,165
231,85,999,84
232,0,4,0
232,5,9,0
232,10,14,3
232,15,19,5
232,20,24,5
232,25,29,5
232,30,34,8
232,35,39,12
232,40,44,10
232,45,49,14
232,50,54,16
232,55,59,15
232,60,64,17
232,65,69,17
232,70,74,17
232,75,79,13
232,80,84,8
232,85,999,4
233,0,4,0
233,5,9,0
233,10,14,0
233,15,19,0
233,20,24,0
233,25,29,1
233,30,34,2
233,35,39,5
233,40,44,9
233,45,49,20
233,50,54,39
233,55,59,64
233,60,64,112
233,65,69,156
233,70,74,186
233,75,79,152
233,80,84,166
233,85,999,162
242,0,4,0
242,5,9,0
242,10,14,0
242,15,19,0
242,20,24,1
242,25,29,0
242,30,34,0
242,35,39,3
242,40,44,5
242,45,49,5
242,50,54,11
242,55,59,8
242,60,64,17
242,65,69,13
242,70,74,13
242,75,79,9
242,80,84,5
242,85,999,6
246,0,4,0
246,5,9,0
246,10,14,1
246,15,19,2
246,20,24,2
246,25,29,4
246,30,34,15
246,35,39,25
246,40,44,44
246,45,49,76
246,50,54,133
246,55,59,243
246,60,64,374
246,65,69,539
246,70,74,719
246,75,79,690
246,80,84,553
246,85,999,600
250,0,4,0
250,5,9,0
250,10,14,35
250,15,19,25
250,20,24,58
250,25,29,39
250,30,34,163
250,35,39,351
250,40,44,724
250,45,49,1322
250,50,54,2278
250,55,59,3511
250,60,64,5258
250,65,69,7027
250,70,74,8832
250,75,79,7583
250,80,84,5972
250,85,999,8458
254,0,4,0
254,5,9,0
254,10,14,0
254,15,19,0
254,20,24,0
254,25,29,0
254,30,34,0
254,35,39,0
254,40,44,0
254,45,49,3
254,50,54,5
254,55,59,8
254,60,64,6
254,65,69,6
254,70,74,7
254,75,79,5
254,80,84,4
254,85,999,2
258,0,4,0
258,5,9,0
258,10,14,0
258,15,19,0
258,20,24,0
258,25,29,0
258,30,34,0
258,35,39,0
258,40,44,0
258,45,49,2
258,50,54,4
258,55,59,5
258,60,64,6
258,65,69,7
258,70,74,7
258,75,79,8
258,80,84,5
258,85,999,4
262,0,4,0
262,5,9,0
262,10,14,0
262,15,19,0
262,20,24,1
262,25,29,2
262,30,34,4
262,35,39,4
262,40,44,4
262,45,49,6
262,50,54,7
262,55,59,7
262,60,64,6
262,65,69,6
262,70,74,5
262,75,79,4
262,80,84,2
262,85,999,0
266,0,4,0
266,5,9,0
266,10,14,0
266,15,19,0
266,20,24,3
266,25,29,3
266,30,34,5
266,35,39,9
266,40,44,10
266,45,49,15
266,50,54,14
266,55,59,15
266,60,64,19
266,65,69,7
266,70,74,4
266,75,79,3
266,80,84,2
266,85,999,0
268,0,4,0
268,5,9,0
268,10,14,0
268,15,19,0
268,20,24,0
268,25,29,3
268,30,34,3
268,35,39,3
268,40,44,7
268,45,49,25
268,50,54,52
268,55,59,105
268,60,64,173
268,65,69,212
268,70,74,205
268,75,79,139
268,80,84,112
268,85,999,86
270,0,4,0
270,5,9,0
270,10,14,0
270,15,19,0
270,20,24,1
270,25,29,3
270,30,34,2
270,35,39,5
270,40,44,4
270,45,49,3
270,50,54,3
270,55,59,4
270,60,64,3
270,65,69,2
270,70,74,3
270,75,79,3
270,80,84,1
270,85,999,0
275,0,4,0
275,5,9,0
275,10,14,0
275,15,19,2
275,20,24,4
275,25,29,10
275,30,34,10
275,35,39,18
275,40,44,29
275,45,49,43
275,50,54,57
275,55,59,71
275,60,64,74
275,65,69,70
275,70,74,69
275,75,79,51
275,80,84,29
275,85,999,16
276,0,4,0
276,5,9,0
276,10,14,16
276,15,19,21
276,20,24,51
276,25,29,74
276,30,34,82
276,35,39,159
276,40,44,502
276,45,49,1026
276,50,54,2293
276,55,59,4242
276,60,64,5907
276,65,69,7228
276,70,74,9091
276,75,79,8927
276,80,84,11698
276,85,999,11227
288,0,4,0
288,5,9,0
288,10,14,0
288,15,19,0
288,20,24,7
288,25,29,43
288,30,34,52
288,35,39,50
288,40,44,71
288,45,49,82
288,50,54,131
288,55,59,142
288,60,64,111
288,65,69,86
288,70,74,87
288,75,79,69
288,80,84,37
288,85,999,18
300,0,4,0
300,5,9,0
300,10,14,1
300,15,19,2
300,20,24,3
300,25,29,3
300,30,34,8
300,35,39,17
300,40,44,71
300,45,49,170
300,50,54,316
300,55,59,479
300,60,64,702
300,65,69,994
300,70,74,1278
300,75,79,1338
300,80,84,1181
300,85,999,1296
312,0,4,0
312,5,9,0
312,10,14,0
312,15,19,0
312,20,24,0
312,25,29,0
312,30,34,0
312,35,39,1
312,40,44,4
312,45,49,8
312,50,54,14
312,55,59,22
312,60,64,28
312,65,69,31
312,70,74,30
312,75,79,27
312,80,84,17
312,85,999,18
316,0,4,0
316,5,9,0
316,10,14,0
316,15,19,0
316,20,24,0
316,25,29,0
316,30,34,0
316,35,39,0
316,40,44,0
316,45,49,3
316,50,54,4
316,55,59,4
316,60,64,5
316,65,69,4
316,70,74,7
316,75,79,6
316,80,84,5
316,85,999,3
320,0,4,0
320,5,9,0
320,10,14,0
320,15,19,4
320,20,24,5
320,25,29,16
320,30,34,18
320,35,39,22
320,40,44,31
320,45,49,43
320,50,54,52
320,55,59,65
320,60,64,88
320,65,69,117
320,70,74,121
320,75,79,105
320,80,84,97
320,85,999,110
324,0,4,0
324,5,9,0
324,10,14,3
324,15,19,2
324,20,24,4
324,25,29,11
324,30,34,11
324,35,39,14
324,40,44,15
324,45,49,17
324,50,54,18
324,55,59,21
324,60,64,21
324,65,69,20
324,70,74,19
324,75,79,13
324,80,84,8
324,85,999,4
328,0,4,0
328,5,9,0
328,10,14,0
328,15,19,0
328,20,24,0
328,25,29,2
328,30,34,1
328,35,39,1
328,40,44,3
328,45,49,1
328,50,54,4
328,55,59,10
328,60,64,7
328,65,69,14
328,70,74,8
328,75,79,9
328,80,84,11
328,85,999,8
332,0,4,0
332,5,9,0
332,10,14,0
332,15,19,12
332,20,24,10
332,25,29,13
332,30,34,17
332,35,39,43
332,40,44,54
332,45,49,61
332,50,54,60
332,55,59,57
332,60,64,57
332,65,69,94
332,70,74,152
332,75,79,153
332,80,84,159
332,85,999,161
340,0,4,0
340,5,9,0
340,10,14,0
340,15,19,2
340,20,24,7
340,25,29,11
340,30,34,12
340,35,39,11
340,40,44,24
340,45,49,37
340,50,54,51
340,55,59,71
340,60,64,68
340,65,69,78
340,70,74,81
340,75,79,46
340,80,84,36
340,85,999,35
348,0,4,0
348,5,9,0
348,10,14,3
348,15,19,2
348,20,24,6
348,25,29,10
348,30,34,18
348,35,39,30
348,40,44,114
348,45,49,322
348,50,54,564
348,55,59,797
348,60,64,1189
348,65,69,1828
348,70,74,1705
348,75,79,1340
348,80,84,934
348,85,999,745
352,0,4,0
352,5,9,0
352,10,14,0
352,15,19,0
352,20,24,0
352,25,29,0
352,30,34,0
352,35,39,2
352,40,44,4
352,45,49,8
352,50,54,10
352,55,59,21
352,60,64,22
352,65,69,29
352,70,74,37
352,75,79,32
352,80,84,25
352,85,999,25
356,0,4,0
356,5,9,0
356,10,14,50
356,15,19,206
356,20,24,670
356,25,29,1176
356,30,34,1932
