ISOcode,AgeStart,AgeEnd,Ri,Di,Ni,Mi
72,25,29,0,0,3303.5,2
72,30,34,1,0,3583.5,2
72,35,39,3,1,4336,4
72,40,44,6,1,4605,6
72,45,49,10,4,4713.5,9
72,50,54,11,4,4968.5,16
72,55,59,10,3,5197,26
72,60,64,9,3,5111.5,38
72,65,69,8,5,4252,48
72,70,74,6,4,3294.5,59
72,75,79,5,3,2450.5,73
72,80,84,3,3,1549.5,83
72,85,999,1,1,1495,198
76,0,4,0,0,48411,234
76,5,9,0,0,58769.5,23
76,10,14,68,1,64924.5,22
76,15,19,25,0,70744,44
76,20,24,57,8,72475.5,63
76,25,29,68,14,78277.5,73
76,30,34,120,21,81755,90
76,35,39,242,23,68320.5,99
76,40,44,508,163,57181.5,125
76,45,49,825,300,43125.5,155
76,50,54,1179,486,35749.5,209
76,55,59,1463,673,29082,278
76,60,64,1480,709,23324.5,360
76,65,69,1283,632,18949.5,482
76,70,74,1067,504,12847,551
76,75,79,909,387,8671.5,625
76,80,84,791,342,5050.5,613
76,85,999,944,437,3255.5,752
84,0,4,0,0,1248895,11099
84,5,9,0,0,1227829,1769
84,10,14,0,0,1206630,1030
84,15,19,0,0,1158042,1401
84,20,24,0,0,1112110.5,1988
84,25,29,0,0,1055034.5,2298
84,30,34,0,0,971025.5,2545
84,35,39,0,0,831901,2883
84,40,44,0,0,716816.5,3360
84,45,49,0,0,612934.5,4042
84,50,54,0,0,515517.5,4855
84,55,59,0,0,423370.5,6009
84,60,64,0,0,335330.5,7051
84,65,69,0,0,248355.5,8116
84,70,74,0,0,175835,8794
84,75,79,0,0,123090.5,8999
84,80,84,0,0,66475.5,7467
84,85,999,0,0,47960.5,9061
90,0,4,0,0,133776.5,151
90,5,9,0,0,139109,4
90,10,14,0,0,155805,19
90,15,19,0,0,168050,66
90,20,24,0,0,175986,75
90,25,29,0,0,156816,96
90,30,34,0,0,178018,107
90,35,39,0,0,215993,198
90,40,44,1,1,250170.5,412
90,45,49,3,2,240932.5,700
90,50,54,3,1,212230,1038
90,55,59,2,2,245330,2180
90,60,64,1,1,256267.5,3810
90,65,69,1,1,229326,5423
90,70,74,0,0,173940,6404
90,75,79,1,1,105721.5,6013
90,80,84,0,0,87981,7495
90,85,999,0,0,79349.5,10835
