Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
RUS,1,643,643,Russian Federation,0,2465,-,-,2465,1.7,2.4,0.13
RWA,1,646,646,Rwanda,0,40,-,-,40,0.43,0.32,0.03
LCA,1,662,662,Saint Lucia,0,4,-,-,4,2.0,2.8,0.16
STP,1,678,678,Sao Tome and Principe,0,0,-,-,0,0.00,0.00,0.00
SAU,1,682,682,Saudi Arabia,0,203,-,-,203,0.49,0.63,0.04
SEN,1,686,686,Senegal,0,90,-,-,90,0.78,0.55,0.06
SRB,1,688,688,Serbia,0,81,-,-,81,0.91,1.4,0.07
SLE,1,694,694,Sierra Leone,0,1,-,-,1,0.02,0.01,0.00
SGP,1,702,702,Singapore,0,63,-,-,63,0.92,1.5,0.07
SVK,1,703,703,Slovakia,0,172,-,-,172,2.8,4.5,0.21
VNM,1,704,704,Viet Nam,0,879,-,-,879,0.89,1.1,0.07
SVN,1,705,705,Slovenia,0,31,-,-,31,1.4,2.3,0.10
SOM,1,706,706,Somalia,0,74,-,-,74,0.78,0.47,0.06
ZAF,1,710,710,South Africa,0,462,-,-,462,0.89,0.87,0.07
ZWE,1,716,716,Zimbabwe,0,41,-,-,41,0.41,0.29,0.03
ESP,1,724,724,Spain,0,605,-,-,605,1.1,2.0,0.08
SSD,1,728,728,South Sudan,0,53,-,-,53,0.72,0.49,0.05
SDN,1,729,729,Sudan,0,308,-,-,308,1.0,0.73,0.07
SUR,1,740,740,Suriname,0,4,-,-,4,0.76,0.81,0.06
SWZ,1,748,748,Eswatini,0,2,-,-,2,0.23,0.18,0.02
SWE,1,752,752,Sweden,0,98,-,-,98,1.0,1.4,0.07
CHE,1,756,756,Switzerland,0,111,-,-,111,1.2,1.9,0.09
SYR,1,760,760,Syrian Arab Republic,0,63,-,-,63,0.39,0.37,0.03
TJK,1,762,762,Tajikistan,0,28,-,-,28,0.35,0.31,0.02
THA,1,764,764,Thailand,0,942,-,-,942,1.3,1.9,0.09
TGO,1,768,768,Togo,0,34,-,-,34,0.56,0.42,0.04
TTO,1,780,780,Trinidad and Tobago,0,11,-,-,11,0.77,1.0,0.06
ARE,1,784,784,United Arab Emirates,0,32,-,-,32,0.30,0.34,0.02
TUN,1,788,788,Tunisia,0,73,-,-,73,0.61,0.76,0.05
TUR,1,792,792,Türkiye,0,629,-,-,629,0.76,0.91,0.06
TKM,1,795,795,Turkmenistan,0,53,-,-,53,0.99,0.98,0.07
UGA,1,800,800,Uganda,0,216,-,-,216,0.81,0.47,0.06
UKR,1,804,804,Ukraine,0,833,-,-,833,1.8,2.8,0.14
MKD,1,807,807,North Macedonia,0,4,-,-,4,0.17,0.27,0.01
EGY,1,818,818,Egypt,0,570,-,-,570,0.67,0.61,0.05
GBR,1,826,826,United Kingdom,0,1176,-,-,1176,1.8,2.5,0.13
TZA,1,834,834,"Tanzania, United Republic of",0,150,-,-,150,0.35,0.25,0.02
USA,1,840,840,United States of America,0,4698,-,-,4698,1.5,2.0,0.11
BFA,1,854,854,Burkina Faso,0,114,-,-,114,0.86,0.55,0.06
URY,1,858,858,Uruguay,0,30,-,-,30,0.91,1.2,0.07
UZB,1,860,860,Uzbekistan,0,367,-,-,367,1.2,1.2,0.09
VEN,1,862,862,Venezuela,0,184,-,-,184,0.69,0.76,0.05
WSM,1,882,882,Samoa,0,0,-,-,0,0.00,0.00,0.00
YEM,1,887,887,Yemen,0,123,-,-,123,0.67,0.42,0.05
ZMB,1,894,894,Zambia,0,66,-,-,66,0.54,0.36,0.04
,,,,Total,,126790,,,126790,1.7,2.0,0.13
