"ISOcode","AgeStart","AgeEnd","Ri"
96,40,44,0
96,45,49,1
96,50,54,0
96,55,59,0
96,60,64,0
96,65,69,1
96,70,74,0
96,75,79,0
96,80,84,0
96,85,999,0
100,0,4,0
100,5,9,0
100,10,14,0
100,15,19,0
100,20,24,0
100,25,29,1
100,30,34,3
100,35,39,6
100,40,44,15
100,45,49,28
100,50,54,39
100,55,59,47
100,60,64,58
100,65,69,62
100,70,74,60
100,75,79,44
100,80,84,27
100,85,999,21
104,0,4,0
104,5,9,0
104,10,14,17
104,15,19,5
104,20,24,7
104,25,29,19
104,30,34,16
104,35,39,115
104,40,44,208
104,45,49,286
104,50,54,343
104,55,59,312
104,60,64,283
104,65,69,291
104,70,74,246
104,75,79,168
104,80,84,109
104,85,999,70
108,0,4,0
108,5,9,0
108,10,14,5
108,15,19,2
108,20,24,1
108,25,29,3
108,30,34,2
108,35,39,6
108,40,44,6
108,45,49,6
108,50,54,7
108,55,59,9
108,60,64,10
108,65,69,14
108,70,74,12
108,75,79,9
108,80,84,6
108,85,999,3
112,0,4,0
112,5,9,0
112,10,14,0
112,15,19,0
112,20,24,0
112,25,29,1
112,30,34,4
112,35,39,21
112,40,44,47
112,45,49,72
112,50,54,104
112,55,59,135
112,60,64,170
112,65,69,140
112,70,74,97
112,75,79,47
112,80,84,38
112,85,999,32
116,0,4,0
116,5,9,0
116,10,14,3
116,15,19,1
116,20,24,2
116,25,29,9
116,30,34,4
116,35,39,17
116,40,44,25
116,45,49,26
116,50,54,54
116,55,59,65
116,60,64,62
116,65,69,63
116,70,74,68
116,75,79,56
116,80,84,40
116,85,999,28
120,0,4,0
120,5,9,0
120,10,14,7
120,15,19,2
120,20,24,1
120,25,29,1
120,30,34,2
120,35,39,11
120,40,44,18
120,45,49,20
120,50,54,28
120,55,59,32
120,60,64,32
120,65,69,29
120,70,74,24
120,75,79,16
120,80,84,9
120,85,999,5
124,0,4,0
124,5,9,0
124,10,14,3
124,15,19,2
124,20,24,6
124,25,29,13
124,30,34,15
124,35,39,33
124,40,44,75
124,45,49,134
124,50,54,238
124,55,59,392
124,60,64,519
124,65,69,539
124,70,74,493
124,75,79,395
124,80,84,271
124,85,999,286
132,0,4,0
132,5,9,0
132,10,14,0
132,15,19,0
132,20,24,0
132,25,29,0
132,30,34,0
132,35,39,1
132,40,44,2
132,45,49,2
132,50,54,3
132,55,59,1
132,60,64,4
132,65,69,3
132,70,74,2
132,75,79,0
132,80,84,1
132,85,999,0
140,0,4,0
140,5,9,0
140,10,14,1
140,15,19,1
140,20,24,2
140,25,29,1
140,30,34,1
140,35,39,1
140,40,44,3
140,45,49,6
140,50,54,5
140,55,59,3
140,60,64,5
140,65,69,4
140,70,74,2
140,75,79,1
140,80,84,1
140,85,999,0
144,0,4,0
144,5,9,0
144,10,14,4
144,15,19,4
144,20,24,11
144,25,29,5
144,30,34,9
144,35,39,39
144,40,44,98
144,45,49,166
144,50,54,243
144,55,59,325
144,60,64,384
144,65,69,393
144,70,74,370
144,75,79,267
144,80,84,137
144,85,999,101
148,0,4,0
148,5,9,0
148,10,14,9
148,15,19,23
148,20,24,11
148,25,29,0
148,30,34,0
148,35,39,0
148,40,44,11
148,45,49,42
148,50,54,0
148,55,59,0
148,60,64,10
148,65,69,18
148,70,74,16
148,75,79,9
148,80,84,6
148,85,999,0
152,0,4,0
152,5,9,0
152,10,14,8
152,15,19,0
152,20,24,4
152,25,29,0
152,30,34,4
152,35,39,7
152,40,44,4
152,45,49,18
152,50,54,31
152,55,59,42
152,60,64,43
152,65,69,42
152,70,74,38
152,75,79,33
152,80,84,31
152,85,999,44
156,0,4,0
156,5,9,0
156,10,14,127
156,15,19,42
156,20,24,84
156,25,29,212
156,30,34,607
156,35,39,691
156,40,44,1038
156,45,49,1960
156,50,54,4139
156,55,59,4800
156,60,64,4343
156,65,69,5794
156,70,74,5352
156,75,79,3521
156,80,84,2484
156,85,999,2014
170,0,4,0
170,5,9,0
170,10,14,6
170,15,19,4
170,20,24,6
170,25,29,9
170,30,34,21
170,35,39,26
170,40,44,30
170,45,49,46
170,50,54,67
170,55,59,90
