"ISOcode","AgeStart","AgeEnd","Di"
140,85,999,0
144,0,4,0
144,5,9,0
144,10,14,0
144,15,19,0
144,20,24,6
144,25,29,2
144,30,34,3
144,35,39,16
144,40,44,43
144,45,49,76
144,50,54,116
144,55,59,163
144,60,64,196
144,65,69,195
144,70,74,173
144,75,79,117
144,80,84,55
144,85,999,37
148,0,4,0
148,5,9,0
148,10,14,9
148,15,19,16
148,20,24,8
148,25,29,0
148,30,34,0
148,35,39,0
148,40,44,8
148,45,49,29
148,50,54,0
148,55,59,0
148,60,64,8
148,65,69,14
148,70,74,13
148,75,79,8
148,80,84,5
148,85,999,0
152,0,4,0
152,5,9,0
152,10,14,0
152,15,19,0
152,20,24,0
152,25,29,0
152,30,34,1
152,35,39,1
152,40,44,2
152,45,49,4
152,50,54,9
152,55,59,14
152,60,64,19
152,65,69,19
152,70,74,18
152,75,79,18
152,80,84,17
152,85,999,29
156,0,4,0
156,5,9,0
156,10,14,15
156,15,19,4
156,20,24,15
156,25,29,32
156,30,34,138
156,35,39,196
156,40,44,347
156,45,49,685
156,50,54,1822
156,55,59,2050
156,60,64,2026
156,65,69,3183
156,70,74,3030
156,75,79,2610
156,80,84,2211
156,85,999,2467
170,0,4,0
170,5,9,0
170,10,14,1
170,15,19,0
170,20,24,1
170,25,29,3
170,30,34,3
170,35,39,8
170,40,44,11
170,45,49,14
170,50,54,22
170,55,59,37
170,60,64,45
170,65,69,45
170,70,74,49
170,75,79,51
170,80,84,52
170,85,999,71
174,0,4,0
174,5,9,0
174,10,14,0
174,15,19,0
174,20,24,0
174,25,29,0
174,30,34,0
174,35,39,0
174,40,44,0
174,45,49,0
174,50,54,0
174,55,59,1
174,60,64,1
174,65,69,1
174,70,74,0
174,75,79,0
174,80,84,0
174,85,999,0
178,0,4,0
178,5,9,0
178,10,14,0
178,15,19,0
178,20,24,0
178,25,29,0
178,30,34,0
178,35,39,0
178,40,44,0
178,45,49,0
178,50,54,0
178,55,59,2
178,60,64,4
178,65,69,3
178,70,74,0
178,75,79,0
178,80,84,0
178,85,999,0
180,0,4,0
180,5,9,0
180,10,14,11
180,15,19,4
180,20,24,5
180,25,29,4
180,30,34,5
180,35,39,10
180,40,44,19
180,45,49,24
180,50,54,29
180,55,59,32
180,60,64,37
180,65,69,45
180,70,74,55
180,75,79,51
180,80,84,33
180,85,999,18
188,0,4,0
188,5,9,0
188,10,14,0
188,15,19,0
188,20,24,1
188,25,29,0
188,30,34,0
188,35,39,3
188,40,44,2
188,45,49,1
188,50,54,1
188,55,59,3
188,60,64,3
188,65,69,6
188,70,74,7
188,75,79,5
188,80,84,3
188,85,999,7
191,0,4,0
191,5,9,0
191,10,14,0
191,15,19,0
191,20,24,0
191,25,29,0
191,30,34,0
191,35,39,1
191,40,44,3
191,45,49,7
191,50,54,11
191,55,59,18
191,60,64,20
191,65,69,22
191,70,74,19
191,75,79,14
191,80,84,14
191,85,999,12
192,0,4,0
192,5,9,0
192,10,14,0
192,15,19,0
192,20,24,0
192,25,29,0
192,30,34,0
192,35,39,0
192,40,44,7
192,45,49,20
192,50,54,45
192,55,59,65
192,60,64,57
192,65,69,51
192,70,74,50
192,75,79,46
192,80,84,39
192,85,999,42
196,0,4,0
196,5,9,0
196,10,14,0
196,15,19,0
196,20,24,0
196,25,29,0
196,30,34,0
196,35,39,0
196,40,44,0
196,45,49,0
196,50,54,1
196,55,59,1
196,60,64,2
196,65,69,1
196,70,74,1
196,75,79,0
196,80,84,1
196,85,999,1
203,0,4,0
203,5,9,0
203,10,14,0
203,15,19,0
203,20,24,0
203,25,29,0
203,30,34,0
203,35,39,1
203,40,44,7
203,45,49,24
203,50,54,34
203,55,59,49
203,60,64,52
203,65,69,62
203,70,74,64
203,75,79,50
203,80,84,31
203,85,999,26
204,0,4,0
204,5,9,0
204,10,14,0
204,15,19,2
204,20,24,0
