"ISOcode","AgeStart","AgeEnd","Di"
96,40,44,3
96,45,49,3
96,50,54,7
96,55,59,8
96,60,64,11
96,65,69,9
96,70,74,9
96,75,79,8
96,80,84,8
96,85,999,9
100,0,4,0
100,5,9,0
100,10,14,0
100,15,19,0
100,20,24,0
100,25,29,0
100,30,34,3
100,35,39,8
100,40,44,22
100,45,49,56
100,50,54,102
100,55,59,167
100,60,64,273
100,65,69,393
100,70,74,503
100,75,79,482
100,80,84,382
100,85,999,368
104,0,4,0
104,5,9,0
104,10,14,0
104,15,19,0
104,20,24,7
104,25,29,27
104,30,34,44
104,35,39,59
104,40,44,102
104,45,49,163
104,50,54,261
104,55,59,320
104,60,64,403
104,65,69,507
104,70,74,505
104,75,79,397
104,80,84,288
104,85,999,199
108,0,4,0
108,5,9,0
108,10,14,0
108,15,19,0
108,20,24,2
108,25,29,7
108,30,34,9
108,35,39,13
108,40,44,12
108,45,49,14
108,50,54,20
108,55,59,32
108,60,64,44
108,65,69,45
108,70,74,32
108,75,79,22
108,80,84,13
108,85,999,9
112,0,4,0
112,5,9,0
112,10,14,0
112,15,19,0
112,20,24,1
112,25,29,1
112,30,34,5
112,35,39,18
112,40,44,12
112,45,49,53
112,50,54,120
112,55,59,231
112,60,64,422
112,65,69,536
112,70,74,536
112,75,79,342
112,80,84,346
112,85,999,347
116,0,4,0
116,5,9,0
116,10,14,0
116,15,19,0
116,20,24,1
116,25,29,4
116,30,34,15
116,35,39,35
116,40,44,47
116,45,49,48
116,50,54,85
116,55,59,106
116,60,64,117
116,65,69,139
116,70,74,153
116,75,79,128
116,80,84,93
116,85,999,64
120,0,4,0
120,5,9,0
120,10,14,0
120,15,19,0
120,20,24,14
120,25,29,19
120,30,34,18
120,35,39,27
120,40,44,39
120,45,49,60
120,50,54,75
120,55,59,84
120,60,64,80
120,65,69,68
120,70,74,53
120,75,79,39
120,80,84,22
120,85,999,10
124,0,4,0
124,5,9,0
124,10,14,0
124,15,19,1
124,20,24,4
124,25,29,16
124,30,34,46
124,35,39,90
124,40,44,151
124,45,49,225
124,50,54,339
124,55,59,521
124,60,64,738
124,65,69,880
124,70,74,894
124,75,79,1640
124,80,84,2160
124,85,999,3816
132,0,4,0
132,5,9,0
132,10,14,0
132,15,19,0
132,20,24,0
132,25,29,0
132,30,34,0
132,35,39,0
132,40,44,0
132,45,49,1
132,50,54,1
132,55,59,0
132,60,64,0
132,65,69,0
132,70,74,2
132,75,79,2
132,80,84,3
132,85,999,4
140,0,4,0
140,5,9,0
140,10,14,0
140,15,19,0
140,20,24,6
140,25,29,4
140,30,34,3
140,35,39,8
140,40,44,7
140,45,49,9
140,50,54,10
140,55,59,18
140,60,64,11
140,65,69,13
140,70,74,11
140,75,79,10
140,80,84,6
140,85,999,3
144,0,4,0
144,5,9,0
144,10,14,0
144,15,19,1
144,20,24,0
144,25,29,7
144,30,34,9
144,35,39,11
144,40,44,26
144,45,49,51
144,50,54,90
144,55,59,136
144,60,64,173
144,65,69,206
144,70,74,217
144,75,79,178
144,80,84,101
144,85,999,78
148,0,4,0
148,5,9,0
148,10,14,0
148,15,19,13
148,20,24,8
148,25,29,27
148,30,34,9
148,35,39,25
148,40,44,2
148,45,49,28
148,50,54,21
148,55,59,6
148,60,64,8
148,65,69,9
148,70,74,7
148,75,79,15
148,80,84,0
148,85,999,0
152,0,4,0
152,5,9,0
152,10,14,0
152,15,19,0
152,20,24,3
152,25,29,8
152,30,34,24
152,35,39,26
152,40,44,44
152,45,49,82
152,50,54,140
152,55,59,207
152,60,64,308
152,65,69,410
152,70,74,468
152,75,79,496
152,80,84,472
152,85,999,642
156,0,4,0
156,5,9,0
156,10,14,50
156,15,19,87
156,20,24,185
156,25,29,466
156,30,34,1264
156,35,39,1690
156,40,44,2803
156,45,49,6189
156,50,54,13762
156,55,59,17530
156,60,64,20201
156,65,69,35490
156,70,74,37415
156,75,79,35396
156,80,84,33503
156,85,999,33979
170,0,4,0
170,5,9,0
170,10,14,1
170,15,19,8
170,20,24,20
170,25,29,59
170,30,34,54
170,35,39,84
170,40,44,133
170,45,49,202
170,50,54,318
170,55,59,481
