"ISOcode","cancer_type","distribution_method","n_age_groups","lifetime_risk","lifetime_risk_percent","variance","std_error","std_error_percent","ci_lower","ci_upper","ci_lower_percent","ci_upper_percent","note"
764,"rectum","Poisson",18,0.0161116568576714,1.611166,4.61902714141056e-08,0.000214919220671641,0.021492,0.015690415185155,0.0165328985301878,1.569042,1.65329,"Success"
474,"rectum","Poisson",16,0.0160922282732484,1.609223,5.86810960453791e-06,0.00242241813164819,0.242242,0.0113442887352179,0.0208401678112788,1.134429,2.084017,"Success"
704,"rectum","Poisson",18,0.0156176398518983,1.561764,4.78185987790752e-08,0.000218674641371777,0.021867,0.0151890375548096,0.016046242148987,1.518904,1.604624,"Success"
12,"rectum","Poisson",18,0.0155997761559174,1.559978,1.66819195379639e-07,0.000408435056501812,0.040844,0.0147992434451739,0.016400308866661,1.479924,1.640031,"Success"
882,"rectum","Poisson",18,0.0155221652488702,1.552217,2.01173648717609e-05,0.00448523855238057,0.448524,0.00673109768620426,0.0243132328115361,0.67311,2.431323,"Success"
40,"rectum","Poisson",18,0.0153329586536969,1.533296,1.88069207513829e-07,0.000433669468044303,0.043367,0.0144829664963301,0.0161829508110638,1.448297,1.618295,"Success"
152,"rectum","Poisson",18,0.0151385304856952,1.513853,1.59293588178858e-07,0.000399116008422186,0.039912,0.0143562631091877,0.0159207978622027,1.435626,1.59208,"Success"
499,"rectum","Poisson",18,0.014669647472762,1.466965,3.131736232867e-06,0.00176967122168695,0.176967,0.0112010918782555,0.0181382030672684,1.120109,1.81382,"Success"
398,"rectum","Poisson",18,0.0143013429024882,1.430134,2.37555394640618e-07,0.000487396547628949,0.04874,0.0133460456691355,0.015256640135841,1.334605,1.525664,"Success"
682,"rectum","Poisson",18,0.0142615755136061,1.426158,4.17114609727721e-07,0.000645844106366019,0.064584,0.0129957210651287,0.0155274299620835,1.299572,1.552743,"Success"
434,"rectum","Poisson",18,0.0142488845751673,1.424888,1.36281581348724e-06,0.00116739702478944,0.11674,0.01196078640658,0.0165369827437546,1.196079,1.653698,"Success"
792,"rectum","Poisson",18,0.0140751377175247,1.407514,3.83474972916571e-08,0.000195825170219911,0.019583,0.0136913203838936,0.0144589550511557,1.369132,1.445896,"Success"
376,"rectum","Poisson",18,0.0139155372352685,1.391554,3.19500623348728e-07,0.000565243861840824,0.056524,0.0128076592660605,0.0150234152044766,1.280766,1.502342,"Success"
