"ISOcode","cancer_type","distribution_method","n_age_groups","lifetime_risk","lifetime_risk_percent","variance","std_error","std_error_percent","ci_lower","ci_upper","ci_lower_percent","ci_upper_percent","note"
630,"colorectum","Poisson",16,0.0550002092967758,5.500021,2.12283586479859e-06,0.00145699549237415,0.1457,0.0521444981317224,0.0578559204618291,5.21445,5.785592,"Success"
780,"colorectum","Poisson",16,0.0547078750521922,5.470788,1.58044240866458e-05,0.00397547784381271,0.397548,0.0469159384783193,0.0624998116260651,4.691594,6.249981,"Success"
51,"colorectum","Poisson",16,0.0544650452286549,5.446505,3.7702125971341e-06,0.0019417035296703,0.19417,0.0506593063105011,0.0582707841468086,5.065931,5.827078,"Success"
608,"colorectum","Poisson",16,0.0540918691564779,5.409187,3.5859604851927e-07,0.000598828897531899,0.059883,0.0529181645173154,0.0552655737956404,5.291816,5.526557,"Success"
840,"colorectum","Poisson",16,0.0539128337920831,5.391283,2.53572753988144e-08,0.000159239679096682,0.015924,0.0536007240210536,0.0542249435631126,5.360072,5.422494,"Success"
32,"colorectum","Poisson",16,0.0536472254461405,5.364723,2.33663993769184e-07,0.000483388036435723,0.048339,0.0526997848947265,0.0545946659975545,5.269978,5.459467,"Success"
76,"colorectum","Poisson",16,0.0522288175100665,5.222882,7.40490464690071e-08,0.000272119544445097,0.027212,0.0516954632029541,0.0527621718171789,5.169546,5.276217,"Success"
540,"colorectum","Poisson",16,0.0516447356981077,5.164474,4.16649044370481e-05,0.00645483574051641,0.645484,0.0389932576466955,0.0642962137495199,3.899326,6.429621,"Success"
440,"colorectum","Poisson",16,0.051384775990032,5.138478,1.96808739721154e-06,0.00140288538277777,0.140289,0.0486351206397876,0.0541344313402765,4.863512,5.413443,"Success"
40,"colorectum","Poisson",16,0.0513452926722526,5.134529,6.84097591726444e-07,0.000827101923420834,0.08271,0.0497241729023478,0.0529664124421575,4.972417,5.296641,"Success"
312,"colorectum","Poisson",16,0.0507284026205144,5.07284,1.73242043672516e-05,0.00416223550117621,0.416224,0.042570421038209,0.0588863842028198,4.257042,5.888638,"Success"
316,"colorectum","Poisson",16,0.050414371556277,5.041437,0.000130850573196273,0.0114389935394804,1.143899,0.0279939442188955,0.0728347988936585,2.799394,7.28348,"Success"
70,"colorectum","Poisson",16,0.0501624673411434,5.016247,1.71971013075184e-06,0.00131137718858909,0.131138,0.0475921680515088,0.052732766630778,4.759217,5.273277,"Success"
740,"colorectum","Poisson",16,0.0492676520204626,4.926765,3.53714145343035e-05,0.00594738720231863,0.594739,0.0376107731039181,0.0609245309370071,3.761077,6.092453,"Success"
156,"colorectum","Poisson",16,0.0492050784850626,4.920508,7.55532392706271e-09,8.69213663437403e-05,0.008692,0.0490347126070289,0.0493754443630964,4.903471,4.937544,"Success"
807,"colorectum","Poisson",16,0.0487910532548257,4.879105,3.52829088357413e-06,0.00187837453229491,0.187837,0.0451094391715277,0.0524726673381237,4.510944,5.247267,"Success"
332,"colorectum","Poisson",16,0.0474057024866424,4.74057,4.23825003101287e-06,0.00205870105430897,0.20587,0.0433706484201969,0.051440756553088,4.337065,5.144076,"Success"
804,"colorectum","Poisson",16,0.0473336243274503,4.733362,1.41980969007743e-07,0.000376803621277375,0.03768,0.0465950892297467,0.048072159425154,4.659509,4.807216,"Success"
458,"colorectum","Poisson",16,0.0465105799152297,4.651058,6.65966347510239e-07,0.00081606761209488,0.081607,0.0449110873955238,0.0481100724349357,4.491109,4.811007,"Success"
900,"colorectum","Poisson",16,0.0464338616468264,4.643386,1.74077457543121e-09,4.17225907085264e-05,0.004172,0.0463520853690377,0.0465156379246151,4.635209,4.651564,"Success"
170,"colorectum","Poisson",16,0.0463171090414582,4.631711,3.53489155654894e-07,0.00059454954011831,0.059455,0.0451517919428263,0.0474824261400901,4.515179,4.748243,"Success"
499,"colorectum","Poisson",16,0.0457465154386565,4.574652,1.04900413624767e-05,0.00323883333354416,0.323883,0.03939840210491,0.0520946287724031,3.93984,5.209463,"Success"
591,"colorectum","Poisson",16,0.0442006312094284,4.420063,4.40994256505225e-06,0.00209998632496791,0.209999,0.0400846580124913,0.0483166044063656,4.008466,4.83166,"Success"
792,"colorectum","Poisson",16,0.0432084990286261,4.32085,1.32188412439884e-07,0.000363577244117235,0.036358,0.0424958876301563,0.0439211104270959,4.249589,4.392111,"Success"
434,"colorectum","Poisson",16,0.0430465293363464,4.304653,4.17241891704264e-06,0.00204264997418614,0.204265,0.0390429353869416,0.0470501232857512,3.904294,4.705012,"Success"
862,"colorectum","Poisson",16,0.0429055567399134,4.290556,5.36192523447444e-07,0.000732251680399194,0.073225,0.041470343446331,0.0443407700334958,4.147034,4.434077,"Success"
12,"colorectum","Poisson",16,0.0417226311271706,4.172263,4.73922416941515e-07,0.000688420232809521,0.068842,0.040373327470864,0.0430719347834773,4.037333,4.307193,"Success"
882,"colorectum","Poisson",16,0.0413509551133053,4.135096,5.80126367173472e-05,0.00761660270181839,0.76166,0.0264224138177413,0.0562794964088694,2.642241,5.62795,"Success"
188,"colorectum","Poisson",16,0.0412161165980633,4.121612,2.33671391663037e-06,0.00152863138677393,0.152863,0.0382199990799864,0.0442122341161402,3.822,4.421223,"Success"
44,"colorectum","Poisson",16,0.041051680549145,4.105168,2.90305543502783e-05,0.00538800096049345,0.5388,0.0304911986665778,0.0516121624317121,3.04912,5.161216,"Success"
258,"colorectum","Poisson",16,0.0410039524878675,4.100395,7.52159694513799e-05,0.00867271407642267,0.867271,0.0240054328980791,0.0580024720776559,2.400543,5.800247,"Success"
480,"colorectum","Poisson",16,0.0398629772894728,3.986298,7.29133125821972e-06,0.00270024651804603,0.270025,0.0345704941141026,0.0451554604648431,3.457049,4.515546,"Success"
275,"colorectum","Poisson",16,0.0383570054953415,3.835701,6.5017969039032e-06,0.00254986213429338,0.254986,0.0333592757121264,0.0433547352785565,3.335928,4.335474,"Success"
218,"colorectum","Poisson",16,0.0376142914329436,3.761429,9.83065841591023e-07,0.000991496768321018,0.09915,0.0356709577670344,0.0395576250988528,3.567096,3.955763,"Success"
214,"colorectum","Poisson",16,0.0372174201506223,3.721742,1.44147934402623e-06,0.00120061623511688,0.120062,0.0348642123297932,0.0395706279714514,3.486421,3.957063,"Success"
764,"colorectum","Poisson",16,0.0365558899061924,3.655589,1.08370864307437e-07,0.000329197303007539,0.03292,0.0359106631922976,0.0372011166200871,3.591066,3.720112,"Success"
254,"colorectum","Poisson",16,0.0361348211970326,3.613482,4.6242657733612e-05,0.00680019541878114,0.68002,0.0228064381762216,0.0494632042178436,2.280644,4.94632,"Success"
48,"colorectum","Poisson",16,0.0355926168962815,3.559262,2.43611348233593e-05,0.00493570003377022,0.49357,0.0259186448300919,0.0452665889624712,2.591864,4.526659,"Success"
268,"colorectum","Poisson",16,0.0350327289485241,3.503273,1.36445382964208e-06,0.00116809838183352,0.11681,0.0327432561201304,0.0373222017769177,3.274326,3.73222,"Success"
408,"colorectum","Poisson",16,0.0347313732561765,3.473137,2.53317936003658e-07,0.00050330699975627,0.050331,0.0337448915366542,0.0357178549756987,3.374489,3.571785,"Success"
558,"colorectum","Poisson",16,0.03342893164497,3.342893,3.5417959214188e-06,0.00188196597243914,0.188197,0.0297402783389893,0.0371175849509508,2.974028,3.711758,"Success"
