"Region","lifetime_risk_percent_CC","lifetime_risk_percent_RC","lifetime_risk_percent_CRC","ISOcode","ci_lower_percent_CC","ci_upper_percent_CC","ci_lower_percent_RC","ci_upper_percent_RC","ci_lower_percent_CRC","ci_upper_percent_CRC"
"Martinique",4.413972,1.609223,6.122511,474,3.607485,5.22046,1.134429,2.084017,5.177993,7.06703
"Mauritania",0.590069,0.393531,1.106477,478,0.422388,0.757749,0.249911,0.537152,0.878283,1.33467
"Mauritius",2.833924,1.098179,3.976993,480,2.382451,3.285397,0.828777,1.367581,3.448979,4.505006
"Mexico",1.928176,0.520261,2.5074,484,1.880937,1.975415,0.497699,0.542823,2.454278,2.560522
"Mongolia",1.098431,0.347007,1.530207,496,0.854531,1.342332,0.20965,0.484364,1.238213,1.822201
"Moldova",3.666749,2.301478,5.988387,498,3.41104,3.922458,2.10812,2.494836,5.665641,6.311132
"Montenegro",2.997599,1.466965,4.570223,499,2.475252,3.519945,1.120109,1.81382,3.936026,5.20442
"Morocco",1.522804,1.042411,2.693752,504,1.439928,1.60568,0.976146,1.108676,2.585036,2.802469
"Mozambique",0.419428,0.335475,0.891839,508,0.335338,0.503517,0.264025,0.406925,0.77224,1.011439
"Oman",1.411693,1.0238,2.585756,512,1.076529,1.746856,0.71005,1.33755,2.116965,3.054547
"Namibia",0.719703,0.49875,1.290585,516,0.503729,0.935677,0.303096,0.694403,0.99486,1.586309
"Nepal",0.504604,0.355689,0.881273,524,0.449539,0.559669,0.30811,0.403268,0.808078,0.954468
"Netherlands",7.114174,3.061205,10.308596,528,6.970213,7.258135,2.971293,3.151118,10.135733,10.481459
"New Caledonia",3.298126,1.807268,5.155336,540,2.30045,4.295801,1.044611,2.569926,3.892426,6.418246
"Vanuatu",0.482814,0.478769,0.996529,548,0.002335,0.963293,0.101512,0.856026,0.380276,1.612781
"New Zealand",7.396037,3.264408,10.784096,554,7.078604,7.71347,3.06727,3.461545,10.405386,11.162805
"Nicaragua",2.577493,0.641551,3.334909,558,2.250451,2.904535,0.485233,0.797869,2.966924,3.702893
"Niger",0.53618,0.217886,0.852407,562,0.441717,0.630643,0.170757,0.265014,0.744288,0.960526
"Nigeria",0.469077,0.366581,1.036396,566,0.447488,0.490665,0.348471,0.384691,1.003853,1.068939
"Norway",9.35766,3.313637,12.796723,578,9.029191,9.686129,3.131854,3.495421,12.416129,13.177316
"Pakistan",0.541202,0.371886,0.973226,586,0.518098,0.564305,0.352245,0.391527,0.941985,1.004466
"Panama",3.316507,1.006389,4.408667,591,2.956487,3.676526,0.818877,1.1939,3.998131,4.819204
"Papua New Guinea",1.028237,0.977632,2.45213,598,0.838916,1.217559,0.782121,1.173143,2.150884,2.753377
"Paraguay",4.943381,0.822688,5.987248,600,4.572612,5.314149,0.688443,0.956933,5.585627,6.388868
"Peru",2.47994,0.548773,3.143249,604,2.39051,2.569371,0.507991,0.589555,3.04332,3.243177
"Philippines",3.663625,1.676632,5.386156,608,3.565753,3.761496,1.613779,1.739485,5.269284,5.503028
"Poland",4.717817,3.085483,7.924457,616,4.633099,4.802535,3.019835,3.151132,7.815756,8.033157
"Portugal",6.362969,3.175835,9.675511,620,6.20008,6.525859,3.064086,3.287585,9.474528,9.876494
"Guinea-Bissau",0.281044,0.193572,0.493889,624,0.143146,0.418942,0.083719,0.303425,0.315286,0.672491
"Timor-Leste",0.915917,0.684023,1.599224,626,0.530871,1.300962,0.321401,1.046644,1.070247,2.128201
"Puerto Rico",4.02114,1.344542,5.494582,630,3.774738,4.267543,1.210107,1.478978,5.209293,5.779871
"Qatar",1.683719,1.161433,2.893047,634,0.875452,2.491986,0.381111,1.941755,1.766124,4.019969
"Réunion",3.583463,1.806748,5.540367,638,2.954938,4.211988,1.386234,2.227263,4.769285,6.311449
"Romania",4.073256,2.659431,6.840691,642,3.974457,4.172055,2.58285,2.736011,6.713909,6.967473
"Russia",4.091022,2.078739,6.244818,643,4.050145,4.1319,2.050735,2.106742,6.194815,6.294821
"Rwanda",0.256386,0.322014,0.612411,646,0.193213,0.31956,0.246066,0.397962,0.511565,0.713257
"St. Lucia",2.642252,0.636655,3.277186,662,1.3167,3.967803,0.112603,1.160707,1.850724,4.703649
"São Tomé & Príncipe",0.584209,0.094188,0.678392,678,0.128373,1.040045,0,0.280364,0.184808,1.171977
"Saudi Arabia",1.818422,1.426158,3.330558,682,1.671344,1.9655,1.299572,1.552743,3.13325,3.527866
"Senegal",0.464377,0.385867,0.948528,686,0.387049,0.541704,0.312788,0.458947,0.836683,1.060373
"Serbia",3.576386,3.231246,6.949114,688,3.428003,3.72477,3.094387,3.368105,6.743359,7.154869
"Sierra Leone",0.011171,0.036778,0.051399,694,0,0.025679,0,0.096634,0,0.113129
"Singapore",7.873883,4.102482,12.095917,702,7.451231,8.296535,3.816323,4.388642,11.580474,12.611359
"Slovakia",5.477432,3.331078,9.019994,703,5.219637,5.735227,3.142451,3.519705,8.695067,9.344922
"Vietnam",1.251116,1.561764,2.926361,704,1.212346,1.289886,1.518904,1.604624,2.867004,2.985717
"Slovenia",4.787803,3.010622,7.837232,705,4.446683,5.128923,2.748158,3.273086,7.402248,8.272217
"Somalia",0.865271,0.556322,1.494298,706,0.730269,1.000273,0.446839,0.665805,1.315363,1.673233
"South Africa",1.265815,0.955252,2.330325,710,1.21314,1.318491,0.911969,0.998535,2.260704,2.399947
"Zimbabwe",0.792389,0.642922,1.586111,716,0.687478,0.897301,0.537427,0.748417,1.429679,1.742543
