"ISOcode","cancer_type","distribution_method","n_age_groups","lifetime_risk","lifetime_risk_percent","variance","std_error","std_error_percent","ci_lower","ci_upper","ci_lower_percent","ci_upper_percent","note"
388,"colon","Poisson",18,0.0524992848111209,5.249928,8.51673575009244e-06,0.0029183446935022,0.291834,0.0467793292118566,0.0582192404103852,4.677933,5.821924,"Success"
926,"colon","Poisson",18,0.052077933682078,5.207793,3.28781972403131e-08,0.000181323460259044,0.018132,0.0517225396999703,0.0524333276641857,5.172254,5.243333,"Success"
124,"colon","Poisson",18,0.0511134658678115,5.111347,2.26230188504089e-07,0.00047563661392295,0.047564,0.0501812181045225,0.0520457136311005,5.018122,5.204571,"Success"
376,"colon","Poisson",18,0.0508081094858988,5.080811,1.47078904898647e-06,0.00121276091996175,0.121276,0.0484310980827738,0.0531851208890239,4.84311,5.318512,"Success"
192,"colon","Poisson",18,0.0496597911007886,4.965979,8.75044563696599e-07,0.000935438166687996,0.093544,0.0478263322940801,0.0514932499074971,4.782633,5.149325,"Success"
981,"colon","Poisson",18,0.0495491184472198,4.954912,4.82070492102389e-09,6.94312964089242e-05,0.006943,0.0494130331062583,0.0496852037881813,4.941303,4.96852,"Success"
600,"colon","Poisson",18,0.0494338075979907,4.943381,3.57843571941908e-06,0.00189167537368838,0.189168,0.0457261238655614,0.0531414913304199,4.572612,5.314149,"Success"
246,"colon","Poisson",18,0.0479614514903928,4.796145,1.04937118174811e-06,0.0010243881987548,0.102439,0.0459536506208334,0.0499692523599522,4.595365,4.996925,"Success"
705,"colon","Poisson",18,0.0478780296501936,4.787803,3.0290191741939e-06,0.00174040776089798,0.174041,0.0444668304388336,0.0512892288615536,4.446683,5.128923,"Success"
616,"colon","Poisson",18,0.0471781731995702,4.717817,1.86826206616334e-07,0.000432233972075697,0.043223,0.0463309946143018,0.0480253517848386,4.633099,4.802535,"Success"
276,"colon","Poisson",18,0.0468406595745367,4.684066,6.50702020407615e-08,0.000255088616054816,0.025509,0.0463406858870692,0.0473406332620041,4.634069,4.734063,"Success"
756,"colon","Poisson",18,0.0460762762033816,4.607628,7.61787289877661e-07,0.000872804267792992,0.08728,0.0443655798385073,0.0477869725682559,4.436558,4.778697,"Success"
203,"colon","Poisson",18,0.0456732280095182,4.567323,5.97405371302411e-07,0.000772920029047256,0.077292,0.0441583047525855,0.0471881512664508,4.41583,4.718815,"Success"
196,"colon","Poisson",18,0.0452288528605632,4.522885,6.64473565409354e-06,0.00257773847666778,0.257774,0.0401764854462944,0.0502812202748321,4.017649,5.028122,"Success"
474,"colon","Poisson",16,0.0441397220495699,4.413972,1.69310268036764e-05,0.00411473289578758,0.411473,0.0360748455738263,0.0522045985253136,3.607485,5.22046,"Success"
52,"colon","Poisson",18,0.0441073087970336,4.410731,2.62436191264586e-05,0.00512285263563755,0.512285,0.034066517631184,0.0541480999628832,3.406652,5.41481,"Success"
32,"colon","Poisson",18,0.0432468409785782,4.324684,1.90387870083121e-07,0.000436334585018333,0.043633,0.0423916251919422,0.0441020567652141,4.239163,4.410206,"Success"
51,"colon","Poisson",18,0.0422295134801341,4.222951,2.96097348087188e-06,0.0017207479422832,0.172075,0.038856847513259,0.0456021794470092,3.885685,4.560218,"Success"
915,"colon","Poisson",18,0.0417659761661515,4.176598,2.88684123457572e-07,0.000537293330926015,0.053729,0.0407128812375365,0.0428190710947665,4.071288,4.281907,"Success"
