"Region","lifetime_risk_percent_CC","lifetime_risk_percent_RC","ISOcode","ci_lower_percent_CC","ci_upper_percent_CC","ci_lower_percent_RC","ci_upper_percent_RC"
"Pakistan",0.541202,0.371886,586,0.518098,0.564305,0.352245,0.391527
"Panama",3.316507,1.006389,591,2.956487,3.676526,0.818877,1.1939
"Papua New Guinea",1.028237,0.977632,598,0.838916,1.217559,0.782121,1.173143
"Paraguay",4.943381,0.822688,600,4.572612,5.314149,0.688443,0.956933
"Peru",2.47994,0.548773,604,2.39051,2.569371,0.507991,0.589555
"Philippines",3.663625,1.676632,608,3.565753,3.761496,1.613779,1.739485
"Poland",4.717817,3.085483,616,4.633099,4.802535,3.019835,3.151132
"Portugal",6.362969,3.175835,620,6.20008,6.525859,3.064086,3.287585
"Guinea-Bissau",0.281044,0.193572,624,0.143146,0.418942,0.083719,0.303425
"Timor-Leste",0.915917,0.684023,626,0.530871,1.300962,0.321401,1.046644
"Puerto Rico",4.02114,1.344542,630,3.774738,4.267543,1.210107,1.478978
"Qatar",1.683719,1.161433,634,0.875452,2.491986,0.381111,1.941755
"Réunion",3.583463,1.806748,638,2.954938,4.211988,1.386234,2.227263
"Romania",4.073256,2.659431,642,3.974457,4.172055,2.58285,2.736011
"Russia",4.091022,2.078739,643,4.050145,4.1319,2.050735,2.106742
"Rwanda",0.256386,0.322014,646,0.193213,0.31956,0.246066,0.397962
"St. Lucia",2.642252,0.636655,662,1.3167,3.967803,0.112603,1.160707
"São Tomé & Príncipe",0.584209,0.094188,678,0.128373,1.040045,0,0.280364
"Saudi Arabia",1.818422,1.426158,682,1.671344,1.9655,1.299572,1.552743
"Senegal",0.464377,0.385867,686,0.387049,0.541704,0.312788,0.458947
"Serbia",3.576386,3.231246,688,3.428003,3.72477,3.094387,3.368105
"Sierra Leone",0.011171,0.036778,694,0,0.025679,0,0.096634
"Singapore",7.873883,4.102482,702,7.451231,8.296535,3.816323,4.388642
"Slovakia",5.477432,3.331078,703,5.219637,5.735227,3.142451,3.519705
"Vietnam",1.251116,1.561764,704,1.212346,1.289886,1.518904,1.604624
"Slovenia",4.787803,3.010622,705,4.446683,5.128923,2.748158,3.273086
"Somalia",0.865271,0.556322,706,0.730269,1.000273,0.446839,0.665805
"South Africa",1.265815,0.955252,710,1.21314,1.318491,0.911969,0.998535
"Zimbabwe",0.792389,0.642922,716,0.687478,0.897301,0.537427,0.748417
"Spain",6.0908,2.695623,724,6.010376,6.171225,2.644876,2.74637
"South Sudan",0.602376,0.464907,728,0.43879,0.765962,0.323191,0.606623
"Sudan",0.660462,0.592281,729,0.584565,0.736359,0.52445,0.660113
"Suriname",4.126686,0.77242,740,3.0462,5.207172,0.342152,1.202688
"Eswatini",0.322083,0.178509,748,0.128277,0.51589,0.05582,0.301199
"Sweden",5.756768,2.460942,752,5.582639,5.930898,2.353038,2.568847
"Switzerland",4.607628,2.164885,756,4.436558,4.778697,2.054337,2.275433
"Syria",1.843716,1.035709,760,1.685975,2.001457,0.904651,1.166768
"Tajikistan",0.577121,0.540266,762,0.434106,0.720137,0.404148,0.676383
"Thailand",1.978258,1.611166,764,1.930498,2.026018,1.569042,1.65329
"Togo",0.787659,0.345639,768,0.595541,0.979777,0.213502,0.477777
"Trinidad & Tobago",3.974672,1.306476,780,3.280614,4.66873,0.98155,1.631401
"United Arab Emirates",1.796292,1.260933,784,1.381885,2.2107,0.833257,1.688608
"Tunisia",1.353026,1.121093,788,1.23759,1.468461,1.008004,1.234182
"Turkey",2.863948,1.407514,792,2.804694,2.923203,1.369132,1.445896
"Turkmenistan",0.425567,0.583009,795,0.303987,0.547148,0.445197,0.72082
"Uganda",0.643455,0.474248,800,0.576177,0.710733,0.418014,0.530481
"Ukraine",2.613907,2.043601,804,2.558387,2.669428,1.99638,2.090823
"North Macedonia",2.592983,2.226531,807,2.319717,2.86625,1.985876,2.467186
"Egypt",0.611329,0.312402,818,0.578211,0.644448,0.288664,0.33614
"United Kingdom",5.741731,2.771216,826,5.671577,5.811884,2.724475,2.817957
"Tanzania",0.35601,0.51617,834,0.319784,0.392236,0.46227,0.570069
"United States",3.752135,1.368153,840,3.725377,3.778892,1.35379,1.382517
"Burkina Faso",0.166471,0.079261,854,0.143965,0.188976,0.055071,0.103451
"Uruguay",6.034653,2.211427,858,5.69485,6.374456,2.0146,2.408254
"Uzbekistan",0.698694,0.654211,860,0.645777,0.751611,0.606461,0.701961
"Venezuela",3.109602,0.99855,862,2.983431,3.235774,0.935706,1.061393
"Samoa",2.578457,1.552217,882,1.384509,3.772405,0.67311,2.431323
"Yemen",0.825855,0.497333,887,0.744081,0.90763,0.436325,0.558342
"Zambia",0.289893,0.496113,894,0.214887,0.3649,0.381724,0.610502
"World",2.897693,1.613023,900,2.891101,2.904285,1.608434,1.617611
"Northern America",3.904809,1.443338,905,3.878859,3.930759,1.429226,1.45745
"Eastern Asia",3.287137,2.320983,906,3.274536,3.299738,2.31103,2.330936
"Eastern Africa",0.677675,0.527836,910,0.657343,0.698006,0.509438,0.546235
"Middle Africa",0.363157,0.349674,911,0.339288,0.387027,0.327143,0.372204
"Northern Africa",1.282543,0.822282,912,1.248728,1.316357,0.795616,0.848949
"Southern Africa",1.211103,0.905146,913,1.161804,1.260402,0.864778,0.945514
"Western Africa",0.466555,0.335248,914,0.449985,0.483125,0.321729,0.348767
"Caribbean",4.176598,0.860845,915,4.071288,4.281907,0.817327,0.904363
"Central America",2.024202,0.534108,916,1.980656,2.067749,0.513418,0.554798
"South-Eastern Asia",1.74788,1.369923,920,1.728408,1.767352,1.353003,1.386844
"Western Asia",2.480913,1.171393,922,2.44136,2.520465,1.14628,1.196507
"Eastern Europe",4.082224,2.357032,923,4.054342,4.110106,2.336767,2.377297
"Northern Europe",5.895473,2.758554,924,5.839735,5.951211,2.721984,2.795125
"Southern Europe",5.824517,2.428291,925,5.782833,5.866202,2.402443,2.454139
"Western Europe",5.207793,2.49942,926,5.172254,5.243333,2.475873,2.522967
"Melanesia",1.134354,0.976175,928,0.969182,1.299526,0.817473,1.134878
"South America",3.239661,1.466687,931,3.210255,3.269066,1.44777,1.485604
"Micronesia",3.323631,1.183573,954,2.044665,4.602598,0.710496,1.656651
"Polynesia",2.069446,1.526207,957,1.440754,2.698139,0.96171,2.090704
"Very High HDI countries",4.954912,2.268541,981,4.941303,4.96852,2.259837,2.277246
"High HDI countries",2.275214,1.732123,982,2.266159,2.28427,1.724541,1.739705
"Medium HDI countries",0.782205,0.539845,983,0.774005,0.790405,0.533366,0.546325
"Low HDI countries",0.793867,0.583133,984,0.777265,0.810469,0.569429,0.596837
