"LocationId","AgeStart","AgeEnd","Value"
124,40,44,2926
124,45,49,4269
124,50,54,7076
124,55,59,12316
124,60,64,17439
124,65,69,22631
124,70,74,29160
124,75,79,32482
124,80,84,38706
124,85,999,106693
132,0,4,151
132,5,9,14
132,10,14,15
132,15,19,21
132,20,24,40
132,25,29,56
132,30,34,67
132,35,39,88
132,40,44,91
132,45,49,108
132,50,54,150
132,55,59,176
132,60,64,175
132,65,69,151
132,70,74,154
132,75,79,247
132,80,84,493
132,85,999,781
136,0,4,6
136,5,9,0
136,10,14,0
136,15,19,1
136,20,24,5
136,25,29,5
136,30,34,6
136,35,39,10
136,40,44,16
136,45,49,23
136,50,54,31
136,55,59,38
136,60,64,40
136,65,69,43
136,70,74,46
136,75,79,45
136,80,84,42
136,85,999,53
140,0,4,22770
140,5,9,2137
140,10,14,1409
140,15,19,1910
140,20,24,2337
140,25,29,2178
140,30,34,2038
140,35,39,1984
140,40,44,1859
140,45,49,2048
140,50,54,2348
140,55,59,2583
140,60,64,2941
140,65,69,2902
140,70,74,2174
140,75,79,1557
140,80,84,1014
140,85,999,667
144,0,4,2325
144,5,9,268
144,10,14,317
144,15,19,630
144,20,24,1171
144,25,29,1299
144,30,34,1380
144,35,39,2358
144,40,44,3264
144,45,49,5111
144,50,54,6953
144,55,59,9628
144,60,64,13282
144,65,69,19213
144,70,74,22157
144,75,79,20889
144,80,84,19293
144,85,999,23893
148,0,4,78602
148,5,9,18981
148,10,14,8428
148,15,19,8020
148,20,24,8783
148,25,29,7913
148,30,34,6934
148,35,39,6401
148,40,44,6499
148,45,49,6153
148,50,54,5994
148,55,59,5937
148,60,64,6154
148,65,69,6322
148,70,74,5958
148,75,79,5480
148,80,84,4086
148,85,999,2939
152,0,4,1682
152,5,9,148
152,10,14,192
152,15,19,548
152,20,24,893
152,25,29,1117
152,30,34,1326
152,35,39,1614
152,40,44,2194
152,45,49,3127
152,50,54,4472
152,55,59,6084
152,60,64,8169
152,65,69,10722
152,70,74,12328
152,75,79,13866
152,80,84,16607
152,85,999,35007
156,0,4,121015
156,5,9,24683
156,10,14,27519
156,15,19,33056
156,20,24,50046
156,25,29,80460
156,30,34,97507
156,35,39,99064
156,40,44,149396
156,45,49,294618
156,50,54,477998
156,55,59,505087
156,60,64,840381
156,65,69,1132023
156,70,74,1200120
156,75,79,1293467
156,80,84,1517340
156,85,999,2119462
158,0,4,870
158,5,9,104
158,10,14,123
158,15,19,467
158,20,24,731
158,25,29,777
158,30,34,1278
158,35,39,2311
158,40,44,3731
158,45,49,5273
158,50,54,7934
158,55,59,10653
158,60,64,13440
158,65,69,15157
158,70,74,15688
158,75,79,20083
158,80,84,24379
158,85,999,47087
170,0,4,10041
170,5,9,1126
170,10,14,1314
170,15,19,4454
170,20,24,7174
170,25,29,7138
170,30,34,7004
170,35,39,6979
170,40,44,7085
170,45,49,8464
170,50,54,11526
170,55,59,15790
170,60,64,20377
170,65,69,23118
170,70,74,25872
170,75,79,27147
170,80,84,33171
170,85,999,52722
174,0,4,1498
174,5,9,139
174,10,14,91
174,15,19,147
174,20,24,173
174,25,29,154
174,30,34,154
174,35,39,168
174,40,44,189
174,45,49,230
174,50,54,291
174,55,59,349
174,60,64,384
174,65,69,515
174,70,74,545
174,75,79,677
174,80,84,450
174,85,999,349
175,0,4,54
175,5,9,6
175,10,14,6
175,15,19,14
175,20,24,15
175,25,29,19
175,30,34,20
175,35,39,25
175,40,44,33
175,45,49,43
175,50,54,50
175,55,59,55
175,60,64,60
175,65,69,65
175,70,74,61
175,75,79,57
175,80,84,60
175,85,999,87
178,0,4,9095
178,5,9,1218
178,10,14,800
178,15,19,1017
178,20,24,1259
178,25,29,1434
178,30,34,1710
178,35,39,1972
178,40,44,2230
178,45,49,2373
178,50,54,2564
178,55,59,2585
178,60,64,2600
178,65,69,2489
178,70,74,2445
178,75,79,2200
178,80,84,1772
178,85,999,1417
180,0,4,314784
180,5,9,54437
180,10,14,25696
180,15,19,27938
180,20,24,32549
180,25,29,29193
180,30,34,26443
180,35,39,23618
180,40,44,22939
180,45,49,23572
180,50,54,26731
180,55,59,28260
180,60,64,32875
180,65,69,37544
180,70,74,43343
180,75,79,41246
180,80,84,31016
180,85,999,22106
184,0,4,2
184,5,9,0
184,10,14,0
184,15,19,0
184,20,24,0
184,25,29,0
184,30,34,0
184,35,39,0
184,40,44,4
184,45,49,5
184,50,54,8
184,55,59,10
184,60,64,13
184,65,69,16
184,70,74,16
184,75,79,19
184,80,84,18
184,85,999,18
188,0,4,542
188,5,9,34
188,10,14,41
188,15,19,89
188,20,24,167
188,25,29,218
188,30,34,293
188,35,39,382
188,40,44,520
188,45,49,732
188,50,54,1133
188,55,59,1617
188,60,64,2176
188,65,69,2608
188,70,74,2896
188,75,79,3272
188,80,84,4158
188,85,999,6903
191,0,4,170
191,5,9,14
191,10,14,11
191,15,19,26
191,20,24,51
191,25,29,64
191,30,34,93
191,35,39,163
191,40,44,297
191,45,49,528
191,50,54,1064
191,55,59,1951
191,60,64,3474
191,65,69,5115
191,70,74,5761
191,75,79,8211
191,80,84,10692
191,85,999,16766
192,0,4,589
192,5,9,130
192,10,14,120
192,15,19,296
192,20,24,415
192,25,29,511
192,30,34,641
192,35,39,828
192,40,44,1463
192,45,49,2957
192,50,54,4975
192,55,59,6883
192,60,64,8167
192,65,69,10658
192,70,74,13420
192,75,79,15851
192,80,84,15251
192,85,999,28482
196,0,4,38
196,5,9,5
196,10,14,5
196,15,19,7
196,20,24,14
196,25,29,21
196,30,34,34
196,35,39,53
196,40,44,76
196,45,49,126
196,50,54,216
196,55,59,348
196,60,64,515
196,65,69,739
196,70,74,978
196,75,79,1206
196,80,84,1401
196,85,999,2528
203,0,4,340
203,5,9,52
203,10,14,60
203,15,19,148
203,20,24,246
203,25,29,333
203,30,34,440
203,35,39,687
203,40,44,1238
203,45,49,1794
203,50,54,2650
203,55,59,3919
203,60,64,7195
203,65,69,11165
203,70,74,15118
203,75,79,15842
203,80,84,16056
203,85,999,34401
204,0,4,40155
204,5,9,6502
204,10,14,3247
204,15,19,3680
204,20,24,4313
204,25,29,4044
204,30,34,3748
204,35,39,3534
204,40,44,3471
204,45,49,3457
204,50,54,3905
204,55,59,4112
204,60,64,4614
204,65,69,5124
204,70,74,5734
204,75,79,5858
204,80,84,4492
204,85,999,3683
208,0,4,205
208,5,9,21
208,10,14,26
208,15,19,73
208,20,24,110
208,25,29,129
208,30,34,149
208,35,39,213
208,40,44,319
208,45,49,630
208,50,54,1217
208,55,59,1841
208,60,64,2959
208,65,69,4396
208,70,74,6496
208,75,79,7645
208,80,84,8636
208,85,999,18893
212,0,4,13
212,5,9,0
212,10,14,0
212,15,19,5
212,20,24,5
212,25,29,5
212,30,34,6
212,35,39,10
212,40,44,11
212,45,49,21
212,50,54,31
212,55,59,41
212,60,64,52
212,65,69,57
212,70,74,68
212,75,79,78
212,80,84,84
212,85,999,103
214,0,4,7244
214,5,9,186
214,10,14,156
214,15,19,800
214,20,24,1437
214,25,29,1533
214,30,34,1626
214,35,39,1792
214,40,44,2084
214,45,49,2660
214,50,54,3541
214,55,59,4368
214,60,64,5002
214,65,69,5561
214,70,74,5849
214,75,79,5972
214,80,84,6403
214,85,999,9218
218,0,4,4041
218,5,9,533
218,10,14,573
218,15,19,1380
218,20,24,2120
218,25,29,2294
218,30,34,2314
218,35,39,2348
218,40,44,2510
218,45,49,2880
218,50,54,3551
218,55,59,4699
218,60,64,5671
218,65,69,6927
218,70,74,8109
218,75,79,8618
218,80,84,9563
218,85,999,16898
222,0,4,1388
222,5,9,185
222,10,14,208
222,15,19,717
222,20,24,1183
222,25,29,1207
222,30,34,1158
222,35,39,1384
222,40,44,1718
222,45,49,1937
222,50,54,2357
222,55,59,2650
222,60,64,3059
222,65,69,3513
222,70,74,4168
222,75,79,5464
222,80,84,5669
222,85,999,9032
226,0,4,3961
226,5,9,338
226,10,14,211
226,15,19,232
226,20,24,340
226,25,29,439
226,30,34,528
226,35,39,522
226,40,44,531
226,45,49,571
226,50,54,634
226,55,59,716
226,60,64,697
226,65,69,825
226,70,74,710
226,75,79,751
226,80,84,583
226,85,999,676
231,0,4,187561
231,5,9,35646
231,10,14,21070
231,15,19,27658
231,20,24,33636
231,25,29,30938
231,30,34,27317
231,35,39,23914
231,40,44,24742
231,45,49,24929
231,50,54,29557
231,55,59,31301
231,60,64,35300
231,65,69,41987
231,70,74,48503
231,75,79,46455
231,80,84,36381
231,85,999,28221
232,0,4,4099
232,5,9,999
232,10,14,615
232,15,19,803
232,20,24,944
232,25,29,752
232,30,34,676
232,35,39,654
232,40,44,717
232,45,49,767
232,50,54,934
232,55,59,1006
232,60,64,1200
232,65,69,1426
232,70,74,1922
232,75,79,1958
232,80,84,1582
232,85,999,1115
233,0,4,31
233,5,9,5
233,10,14,5
233,15,19,14
233,20,24,26
233,25,29,49
233,30,34,91
233,35,39,132
233,40,44,189
233,45,49,285
233,50,54,401
233,55,59,706
233,60,64,1063
233,65,69,1481
233,70,74,1660
233,75,79,2080
233,80,84,2634
233,85,999,4620
234,0,4,5
234,5,9,0
234,10,14,0
234,15,19,0
234,20,24,0
234,25,29,0
234,30,34,0
234,35,39,0
234,40,44,3
234,45,49,5
234,50,54,11
234,55,59,17
234,60,64,27
234,65,69,46
234,70,74,70
234,75,79,96
234,80,84,101
234,85,999,234
238,0,4,0
238,5,9,0
238,10,14,0
238,15,19,0
238,20,24,0
238,25,29,0
238,30,34,0
238,35,39,0
238,40,44,0
238,45,49,0
238,50,54,0
238,55,59,0
238,60,64,0
238,65,69,0
238,70,74,1
238,75,79,5
238,80,84,5
238,85,999,4
242,0,4,500
242,5,9,38
242,10,14,36
242,15,19,47
242,20,24,70
242,25,29,87
242,30,34,112
242,35,39,167
242,40,44,235
242,45,49,339
242,50,54,553
242,55,59,725
242,60,64,965
242,65,69,878
242,70,74,872
242,75,79,758
242,80,84,557
242,85,999,396
246,0,4,117
246,5,9,14
246,10,14,35
246,15,19,109
246,20,24,204
246,25,29,221
246,30,34,239
246,35,39,333
246,40,44,428
246,45,49,549
246,50,54,1034
246,55,59,1677
246,60,64,2576
246,65,69,4209
246,70,74,6119
246,75,79,6344
246,80,84,8367
246,85,999,21422
250,0,4,3066
250,5,9,266
250,10,14,328
250,15,19,881
250,20,24,1406
250,25,29,1622
250,30,34,2205
250,35,39,3459
250,40,44,5166
250,45,49,9255
250,50,54,14290
250,55,59,21847
250,60,64,30927
250,65,69,41314
250,70,74,50331
250,75,79,52359
250,80,84,80327
250,85,999,283656
254,0,4,73
254,5,9,5
254,10,14,5
254,15,19,12
254,20,24,14
254,25,29,10
254,30,34,12
254,35,39,17
254,40,44,28
254,45,49,43
254,50,54,62
254,55,59,82
254,60,64,107
254,65,69,128
254,70,74,135
254,75,79,125
254,80,84,115
254,85,999,138
258,0,4,27
258,5,9,3
258,10,14,0
258,15,19,5
258,20,24,5
258,25,29,5
258,30,34,7
258,35,39,10
258,40,44,12
258,45,49,21
258,50,54,37
258,55,59,57
258,60,64,73
258,65,69,95
258,70,74,129
258,75,79,160
258,80,84,164
258,85,999,208
262,0,4,1412
262,5,9,372
262,10,14,226
262,15,19,304
262,20,24,367
262,25,29,370
262,30,34,359
262,35,39,369
262,40,44,414
262,45,49,424
262,50,54,463
262,55,59,472
262,60,64,532
262,65,69,620
262,70,74,731
262,75,79,679
262,80,84,526
262,85,999,400
266,0,4,2650
266,5,9,251
266,10,14,171
266,15,19,260
266,20,24,364
266,25,29,458
266,30,34,553
266,35,39,644
266,40,44,706
266,45,49,766
266,50,54,846
266,55,59,925
266,60,64,1043
266,65,69,1156
266,70,74,1207
266,75,79,1165
266,80,84,1033
266,85,999,1167
268,0,4,493
268,5,9,21
268,10,14,31
268,15,19,70
268,20,24,148
268,25,29,270
268,30,34,392
268,35,39,530
268,40,44,739
268,45,49,1100
268,50,54,1601
268,55,59,2917
268,60,64,4059
268,65,69,4963
268,70,74,5033
268,75,79,6906
268,80,84,9526
268,85,999,9792
270,0,4,4379
270,5,9,1240
270,10,14,635
270,15,19,721
270,20,24,812
270,25,29,744
270,30,34,679
270,35,39,643
270,40,44,659
270,45,49,659
270,50,54,734
270,55,59,733
270,60,64,741
270,65,69,738
270,70,74,921
270,75,79,973
270,80,84,813
270,85,999,757
275,0,4,2477
275,5,9,198
275,10,14,142
275,15,19,241
275,20,24,315
275,25,29,309
275,30,34,287
275,35,39,298
275,40,44,361
275,45,49,497
275,50,54,688
275,55,59,938
275,60,64,1140
275,65,69,1397
275,70,74,1654
275,75,79,1801
275,80,84,1679
275,85,999,1453
276,0,4,2928
276,5,9,296
276,10,14,305
276,15,19,870
276,20,24,1340
276,25,29,1733
276,30,34,2615
276,35,39,3893
276,40,44,5421
276,45,49,10094
276,50,54,21397
276,55,59,35630
276,60,64,48949
276,65,69,65484
276,70,74,73916
276,75,79,129193
276,80,84,181560
276,85,999,307778
288,0,4,41696
288,5,9,11925
288,10,14,6395
288,15,19,7916
288,20,24,9264
288,25,29,9491
288,30,34,9704
288,35,39,9903
288,40,44,9776
288,45,49,8796
288,50,54,9806
288,55,59,11535
288,60,64,13530
288,65,69,13906
288,70,74,13712
288,75,79,14176
288,80,84,12865
288,85,999,10841
292,0,4,3
292,5,9,0
292,10,14,0
292,15,19,0
292,20,24,0
292,25,29,0
292,30,34,0
292,35,39,0
292,40,44,2
292,45,49,5
292,50,54,5
292,55,59,7
292,60,64,12
292,65,69,18
292,70,74,30
292,75,79,28
292,80,84,46
292,85,999,110
296,0,4,177
296,5,9,14
296,10,14,10
296,15,19,14
296,20,24,20
296,25,29,20
296,30,34,20
296,35,39,24
296,40,44,25
296,45,49,31
296,50,54,48
296,55,59,55
296,60,64,54
296,65,69,66
296,70,74,67
296,75,79,63
296,80,84,35
296,85,999,33
300,0,4,344
300,5,9,28
300,10,14,27
300,15,19,64
300,20,24,124
300,25,29,155
300,30,34,244
300,35,39,465
300,40,44,794
300,45,49,1369
300,50,54,2447
300,55,59,3635
300,60,64,5452
300,65,69,8141
300,70,74,12300
300,75,79,15670
300,80,84,23909
300,85,999,45758
304,0,4,8
304,5,9,0
304,10,14,0
304,15,19,4
304,20,24,5
304,25,29,5
304,30,34,8
304,35,39,10
304,40,44,10
304,45,49,17
304,50,54,39
304,55,59,54
304,60,64,61
304,65,69,59
304,70,74,57
304,75,79,62
304,80,84,38
304,85,999,39
308,0,4,35
308,5,9,0
308,10,14,0
308,15,19,2
308,20,24,5
308,25,29,8
308,30,34,10
308,35,39,14
308,40,44,17
308,45,49,24
308,50,54,45
308,55,59,66
308,60,64,97
308,65,69,95
308,70,74,94
308,75,79,100
308,80,84,144
308,85,999,226
312,0,4,22
312,5,9,0
312,10,14,1
312,15,19,6
312,20,24,10
312,25,29,13
312,30,34,11
312,35,39,18
312,40,44,31
312,45,49,66
312,50,54,105
312,55,59,160
312,60,64,210
312,65,69,256
312,70,74,323
312,75,79,356
