"ISOcode","AgeStart","AgeEnd","Ni","Mi"
136,0,"4",2033,1
136,5,"9",1870.5,0
136,10,"14",2021,0
136,15,"19",1730.5,1
136,20,"24",1899.5,2
136,25,"29",2686.5,4
136,30,"34",3351.5,5
136,35,"39",3546,7
136,40,"44",3483.5,10
136,45,"49",3372,13
136,50,"54",3023,17
136,55,"59",2539.5,19
136,60,"64",1711.5,19
136,65,"69",1081,17
136,70,"74",727,18
136,75,"79",467.5,19
136,80,"84",245,17
136,85,"89",128.5,15
136,90,"94",45.5,9
136,95,"99",7,2
136,100,"null",0,0
140,0,"4",470924.5,48583
140,5,"9",416945,10207
140,10,"14",376734.5,6172
140,15,"19",316004.5,15297
140,20,"24",244606.5,23829
140,25,"29",168540.5,17154
140,30,"34",111268,10057
140,35,"39",76246.5,6875
140,40,"44",59153.5,5302
140,45,"49",48457.5,4690
140,50,"54",46593,5048
140,55,"59",39628.5,5171
140,60,"64",33252,5261
140,65,"69",24670.5,4963
140,70,"74",14052,3541
140,75,"79",6356,1726
140,80,"84",2345,979
140,85,"89",471,332
140,90,"94",14,17
140,95,"99",0,0
140,100,"null",0,0
144,0,"4",840936.5,1199
144,5,"9",884941,137
144,10,"14",911095.5,154
144,15,"19",906980.5,303
144,20,"24",844959,478
144,25,"29",826269.5,558
144,30,"34",759460.5,703
144,35,"39",757685.5,1110
144,40,"44",798614.5,2031
144,45,"49",681386,2862
144,50,"54",641873.5,4365
144,55,"59",588671,6365
144,60,"64",527308.5,9117
144,65,"69",426619,11753
144,70,"74",322002,14113
144,75,"79",190168.5,12785
144,80,"84",92205.5,9888
144,85,"89",38338.5,6502
144,90,"94",11119.5,2919
144,95,"99",1655.5,627
144,100,"null",112,58
148,0,"4",1740434,43195
148,5,"9",1463053,10280
148,10,"14",1232366.5,4898
148,15,"19",1014504,4893
148,20,"24",825973.5,5769
148,25,"29",674507.5,4969
148,30,"34",539749.5,4221
148,35,"39",428334,3758
148,40,"44",349624,3691
148,45,"49",299726.5,3813
148,50,"54",229872,3796
148,55,"59",169488,3657
148,60,"64",119674.5,3686
148,65,"69",80084,3638
148,70,"74",49003,3428
148,75,"79",25747.5,2785
148,80,"84",11855.5,1976
148,85,"89",3818,957
148,90,"94",756.5,283
148,95,"99",141,67
148,100,"null",25,14
152,0,"4",520415,580
152,5,"9",619909.5,87
152,10,"14",628657.5,91
152,15,"19",617420.5,329
152,20,"24",707108,745
152,25,"29",803998,957
152,30,"34",827287.5,1197
152,35,"39",755733.5,1296
152,40,"44",693685.5,1686
152,45,"49",656873.5,2363
152,50,"54",626796,3475
152,55,"59",575182.5,5087
152,60,"64",502903,6707
152,65,"69",414335.5,7608
152,70,"74",317651.5,8637
152,75,"79",204211,9563
152,80,"84",127474,10321
152,85,"89",73974,8300
152,90,"94",33934.5,5907
152,95,"99",9289,2491
152,100,"null",1132.5,493
156,0,"4",34724154.5,40290
156,5,"9",48419251,12878
156,10,"14",47378012,15241
156,15,"19",43275020.5,17840
156,20,"24",43476146.5,28601
156,25,"29",47758730,42092
156,30,"34",61912202,64852
156,35,"39",56556298.5,69363
156,40,"44",49071725.5,94406
156,45,"49",53300876.5,164217
156,50,"54",61867300.5,336900
156,55,"59",56527101.5,460238
156,60,"64",33852513.5,491701
156,65,"69",36091616.5,823945
156,70,"74",25156236,903505
156,75,"79",14336381,820112
156,80,"84",8372297,851992
156,85,"89",3885027,675251
156,90,"94",1014382.5,302093
156,95,"99",113324,58610
156,100,"null",2309,2092
158,0,"4",428972.5,347
158,5,"9",546425.5,52
158,10,"14",506041.5,50
158,15,"19",561023.5,232
158,20,"24",682850.5,386
158,25,"29",796833,437
158,30,"34",829983,723
158,35,"39",874402.5,1334
158,40,"44",992714.5,3008
158,45,"49",891986.5,4612
158,50,"54",891335.5,6754
158,55,"59",899775.5,8497
158,60,"64",840753.5,9437
158,65,"69",720253.5,11224
158,70,"74",511306.5,12255
158,75,"79",268414.5,10514
158,80,"84",199112,14572
158,85,"89",105841,14955
158,90,"94",52805,12674
158,95,"99",13268,5034
158,100,"null",1477,841
170,0,"4",1808371,4967
170,5,"9",1801289.5,522
170,10,"14",1923711,748
170,15,"19",2083390.5,3097
170,20,"24",2239110,5313
170,25,"29",2293919.5,5537
170,30,"34",2139506,5113
170,35,"39",1945474,4936
170,40,"44",1759490,5139
170,45,"49",1553595,5598
170,50,"54",1444863.5,7384
170,55,"59",1354455,10214
170,60,"64",1125585,13734
170,65,"69",841651,16248
170,70,"74",580540.5,18384
170,75,"79",363113.5,19983
170,80,"84",181639.5,19119
170,85,"89",71822.5,14095
170,90,"94",18687,6215
170,95,"99",3082.5,1629
170,100,"null",396,287
174,0,"4",57438.5,623
174,5,"9",53295,55
174,10,"14",49030,41
174,15,"19",43474,76
174,20,"24",38319.5,91
174,25,"29",28979.5,67
174,30,"34",27770.5,71
174,35,"39",25963.5,86
174,40,"44",23196.5,109
174,45,"49",18898.5,135
174,50,"54",15426,172
174,55,"59",11794,204
174,60,"64",8811,241
174,65,"69",6627,282
174,70,"74",4852.5,322
174,75,"79",3438,356
174,80,"84",1641.5,256
174,85,"89",474.5,112
174,90,"94",116.5,38
174,95,"99",11,5
174,100,"null",0,0
175,0,"4",24257,68
175,5,"9",22049.5,5
175,10,"14",20121,5
175,15,"19",14752.5,9
175,20,"24",8300.5,7
175,25,"29",8195.5,7
175,30,"34",8629,8
175,35,"39",9002.5,12
175,40,"44",8008.5,18
175,45,"49",7221.5,28
175,50,"54",4559.5,30
175,55,"59",3736,39
175,60,"64",2652,46
175,65,"69",1835.5,51
175,70,"74",942,43
175,75,"79",655,48
175,80,"84",458,51
175,85,"89",151,28
175,90,"94",41.5,12
175,95,"99",7,3
175,100,"null",0,0
178,0,"4",441991,4111
178,5,"9",423460.5,402
178,10,"14",390158.5,313
178,15,"19",310473,470
178,20,"24",251202,595
178,25,"29",216758,638
178,30,"34",194761,742
178,35,"39",178656.5,938
178,40,"44",158425.5,1158
178,45,"49",132688,1356
178,50,"54",104230,1504
178,55,"59",79744,1591
178,60,"64",56762.5,1639
178,65,"69",36006.5,1537
178,70,"74",21538,1422
178,75,"79",11912,1185
178,80,"84",6013,890
178,85,"89",2123.5,456
178,90,"94",499.5,150
178,95,"99",60,24
178,100,"null",1,1
180,0,"4",9421390,172172
180,5,"9",7788049,30108
180,10,"14",6442807.5,14595
180,15,"19",5285761.5,17179
180,20,"24",4434165.5,21150
180,25,"29",3757643.5,18831
180,30,"34",3024891,16394
180,35,"39",2444229,15040
180,40,"44",1916288.5,14632
180,45,"49",1577728.5,15077
180,50,"54",1345453,17805
180,55,"59",1093331,18951
180,60,"64",843194,21520
180,65,"69",609546,23457
180,70,"74",408042.5,24427
180,75,"79",249284.5,23217
180,80,"84",113451.5,16538
180,85,"89",36048,8304
180,90,"94",6483.5,2356
180,95,"99",505.5,266
180,100,"null",7.5,7
184,0,"4",547,1
184,5,"9",651.5,0
184,10,"14",711.5,0
184,15,"19",591.5,1
184,20,"24",397,1
184,25,"29",353,1
184,30,"34",416.5,1
184,35,"39",431.5,1
184,40,"44",413,2
184,45,"49",437,3
184,50,"54",499,5
184,55,"59",521.5,7
184,60,"64",431,9
184,65,"69",297,9
184,70,"74",255,12
184,75,"79",161.5,11
184,80,"84",77.5,8
184,85,"89",33.5,6
184,90,"94",10.5,2
184,95,"99",0.5,0
184,100,"null",0,0
188,0,"4",152916.5,226
188,5,"9",177489,21
188,10,"14",184479.5,42
188,15,"19",183771,145
188,20,"24",199618,339
188,25,"29",205781,403
188,30,"34",209972,461
188,35,"39",203590,449
188,40,"44",178298,446
188,45,"49",153225,502
188,50,"54",142315.5,704
188,55,"59",139971,1006
188,60,"64",122512.5,1314
188,65,"69",92975.5,1497
188,70,"74",69325,1603
188,75,"79",47585.5,2052
188,80,"84",28466,2288
188,85,"89",13904.5,1994
188,90,"94",4774.5,1156
188,95,"99",971,365
188,100,"null",98.5,53
191,0,"4",87562.5,99
191,5,"9",93809,9
191,10,"14",106099.5,11
