"LocationId","AgeStart","AgeEnd","Value"
140,75,79,17984
140,80,84,8166
140,85,999,3339
144,0,4,1620356
144,5,9,1748449.5
144,10,14,1811674
144,15,19,1713011.5
144,20,24,1576191
144,25,29,1514246.5
144,30,34,1446913
144,35,39,1607980
144,40,44,1461955.5
144,45,49,1339454
144,50,54,1272869
144,55,59,1221862.5
144,60,64,1052480
144,65,69,892152
144,70,74,642732
144,75,79,382435
144,80,84,211924.5
144,85,999,132978
148,0,4,3063708.5
148,5,9,2558461
148,10,14,2109243
148,15,19,1708886.5
148,20,24,1414241
148,25,29,1158258.5
148,30,34,922230.5
148,35,39,752600.5
148,40,44,651410
148,45,49,533612
148,50,54,404959.5
148,55,59,303787.5
148,60,64,217290.5
148,65,69,148562.5
148,70,74,89145.5
148,75,79,53443.5
148,80,84,25834.5
148,85,999,11191
152,0,4,1167620
152,5,9,1228895.5
152,10,14,1187946.5
152,15,19,1259265.5
152,20,24,1463574.5
152,25,29,1603156
152,30,34,1531998.5
152,35,39,1401753
152,40,44,1325776.5
152,45,49,1276065
152,50,54,1220141
152,55,59,1108488.5
152,60,64,956190
152,65,69,780434
152,70,74,572634.5
152,75,79,395845.5
152,80,84,277681
152,85,999,282020
156,0,4,85553391
156,5,9,90280871
156,10,14,83819593.5
156,15,19,79582517.5
156,20,24,84175834
156,25,29,106790559.5
156,30,34,118556456.5
156,35,39,102242893.5
156,40,44,94861435
156,45,49,121460377
156,50,54,117373200
156,55,59,87233380
156,60,64,78995382
156,65,69,68858848
156,70,74,42880446
156,75,79,27916257
156,80,84,18501237
156,85,999,12781352.5
158,0,4,1028319
158,5,9,1030166
158,10,14,1012430.5
158,15,19,1268487
158,20,24,1590875.5
158,25,29,1655418
158,30,34,1752604
158,35,39,2040657.5
158,40,44,1986241
158,45,49,1760849
158,50,54,1831356
158,55,59,1770592
158,60,64,1613407.5
158,65,69,1273205.5
158,70,74,799355.5
158,75,79,610749.5
158,80,84,399841.5
158,85,999,353182.5
170,0,4,3662533.5
