"ISOcode","AgeStart","AgeEnd","Ni","Mi"
144,20,24,1576191,950
144,25,29,1514246.5,1135
144,30,34,1446913,1188
144,35,39,1607980,1886
144,40,44,1461955.5,3003
144,45,49,1339454,4593
144,50,54,1272869,6611
144,55,59,1221862.5,9102
144,60,64,1052480,13399
144,65,69,892152,19394
144,70,74,642732,25001
144,75,79,382435,24012
144,80,84,211924.5,21305
144,85,999,132978,25912
148,0,4,3063708.5,77189
148,5,9,2558461,19421
148,10,14,2109243,8794
148,15,19,1708886.5,8547
148,20,24,1414241,9382
148,25,29,1158258.5,8449
148,30,34,922230.5,7561
148,35,39,752600.5,7030
148,40,44,651410,7192
148,45,49,533612,7349
148,50,54,404959.5,7472
148,55,59,303787.5,7626
148,60,64,217290.5,8139
148,65,69,148562.5,8369
148,70,74,89145.5,7581
148,75,79,53443.5,6543
148,80,84,25834.5,4798
148,85,999,11191,3365
152,0,4,1167620,1286
152,5,9,1228895.5,135
152,10,14,1187946.5,190
152,15,19,1259265.5,471
152,20,24,1463574.5,1005
152,25,29,1603156,1323
152,30,34,1531998.5,1692
152,35,39,1401753,1888
152,40,44,1325776.5,2482
152,45,49,1276065,3751
152,50,54,1220141,5544
152,55,59,1108488.5,8171
152,60,64,956190,10488
152,65,69,780434,12613
152,70,74,572634.5,15653
152,75,79,395845.5,17421
152,80,84,277681,19373
152,85,999,282020,40841
156,0,4,85553391,81165
156,5,9,90280871,21329
156,10,14,83819593.5,24608
156,15,19,79582517.5,28263
156,20,24,84175834,46536
156,25,29,106790559.5,65522
156,30,34,118556456.5,102035
156,35,39,102242893.5,101838
156,40,44,94861435,136328
156,45,49,121460377,254589
156,50,54,117373200,470032
156,55,59,87233380,622887
156,60,64,78995382,748895
156,65,69,68858848,1227798
156,70,74,42880446,1385956
156,75,79,27916257,1383337
156,80,84,18501237,1571234
156,85,999,12781352.5,2345179
158,0,4,1028319,826
158,5,9,1030166,97
158,10,14,1012430.5,106
158,15,19,1268487,369
158,20,24,1590875.5,625
158,25,29,1655418,711
158,30,34,1752604,1144
158,35,39,2040657.5,2114
158,40,44,1986241,3817
158,45,49,1760849,5226
158,50,54,1831356,7535
158,55,59,1770592,10436
158,60,64,1613407.5,13150
158,65,69,1273205.5,16512
158,70,74,799355.5,17182
158,75,79,610749.5,20794
158,80,84,399841.5,25895
158,85,999,353182.5,49993
170,0,4,3662533.5,9471
170,5,9,3688616,1004
170,10,14,3854721,1446
170,15,19,4193309,4369
170,20,24,4417169.5,8051
170,25,29,4398950,9149
170,30,34,4092636.5,9507
170,35,39,3743585.5,10658
170,40,44,3318269.5,12612
170,45,49,3022142.5,14718
170,50,54,2941164.5,20294
170,55,59,2636046,28378
170,60,64,2100878.5,37708
170,65,69,1581704,40293
170,70,74,1102760,43732
170,75,79,730367.5,44083
170,80,84,433733,46194
170,85,999,268820,55979
174,0,4,112127.5,1411
174,5,9,103702.5,130
174,10,14,90185.5,88
174,15,19,80034,135
174,20,24,72843.5,163
174,25,29,62500,152
174,30,34,54310,157
174,35,39,46111.5,183
174,40,44,37623,212
174,45,49,31792,259
174,50,54,27434,339
174,55,59,22226.5,428
174,60,64,15921,499
174,65,69,13656.5,609
174,70,74,9063.5,710
174,75,79,6964.5,720
174,80,84,3046.5,581
174,85,999,1444,392
175,0,4,51408,52
175,5,9,42441.5,6
175,10,14,37920.5,6
175,15,19,27982,16
175,20,24,19816,17
175,25,29,22208,20
175,30,34,19411.5,25
175,35,39,16963.5,32
175,40,44,14819.5,44
175,45,49,12383.5,61
175,50,54,9213.5,74
175,55,59,6867,82
175,60,64,4844.5,93
175,65,69,3543,100
175,70,74,2120,98
175,75,79,1245,80
175,80,84,755,80
175,85,999,547,115
178,0,4,840136.5,7694
178,5,9,814400.5,776
178,10,14,678969.5,580
178,15,19,548255.5,833
178,20,24,458803.5,1058
178,25,29,407896.5,1199
178,30,34,382280.5,1451
178,35,39,337606.5,1816
178,40,44,293972,2174
178,45,49,236481.5,2506
178,50,54,188475.5,2818
178,55,59,139845.5,3009
178,60,64,97821.5,3169
178,65,69,63146,3089
178,70,74,40276,2952
178,75,79,23610,2488
178,80,84,12637,2014
178,85,999,6118.5,1613
180,0,4,16703221.5,308202
