"ISOcode","AgeStart","AgeEnd","Ni","Mi"
68,5,"9",603142.5,744
68,10,"14",593244,369
68,15,"19",570686,475
68,20,"24",549812.5,642
68,25,"29",523174,800
68,30,"34",481665,946
68,35,"39",411685.5,1096
68,40,"44",356959,1299
68,45,"49",305768.5,1548
68,50,"54",257746.5,1850
68,55,"59",214927.5,2353
68,60,"64",173894,2915
68,65,"69",131497,3594
68,70,"74",96043,4113
68,75,"79",69804.5,4401
68,80,"84",39721.5,4045
68,85,"89",20544,3062
68,90,"94",7897.5,1720
68,95,"99",1746.5,561
68,100,"null",219,98
70,0,"4",64649.5,64
70,5,"9",67118.5,1
70,10,"14",74990.5,16
70,15,"19",80708.5,19
70,20,"24",83916.5,14
70,25,"29",73542,30
70,30,"34",84062.5,26
70,35,"39",105163.5,60
70,40,"44",127203,132
70,45,"49",123177.5,246
70,50,"54",108896,364
70,55,"59",129583,771
70,60,"64",137465,1350
70,65,"69",127880,2010
70,70,"74",102014,2515
70,75,"79",66598,2637
70,80,"84",60557.5,3807
70,85,"89",40612,3735
70,90,"94",17276,2431
70,95,"99",4583,944
70,100,"null",631.5,182
72,0,"4",143599,1091
72,5,"9",127746.5,93
72,10,"14",121637,68
72,15,"19",124225.5,107
72,20,"24",123434,144
72,25,"29",126121,185
72,30,"34",104070,196
72,35,"39",80176,205
72,40,"44",61987,221
72,45,"49",51815,260
72,50,"54",44252.5,325
72,55,"59",35120.5,373
72,60,"64",24603.5,409
72,65,"69",18737.5,478
72,70,"74",15329.5,601
72,75,"79",9347,578
72,80,"84",5683,509
72,85,"89",2856.5,390
72,90,"94",923,187
72,95,"99",204,59
72,100,"null",29,12
76,0,"4",6675328,16264
76,5,"9",7023544,1069
76,10,"14",7117750,1313
76,15,"19",7500542,3265
76,20,"24",8067310.5,4803
76,25,"29",8110987,5960
76,30,"34",8191419.5,8108
76,35,"39",8513255.5,12269
76,40,"44",8166194.5,17008
76,45,"49",7272021.5,21723
76,50,"54",6523548.5,28461
76,55,"59",6129190,39224
76,60,"64",5379166,51094
76,65,"69",4328003,61427
76,70,"74",3261998,70438
76,75,"79",2143626,84015
76,80,"84",1362224,100189
76,85,"89",696240,100034
76,90,"94",243903.5,58612
76,95,"99",46633,18371
