"ISOcode","AgeStart","AgeEnd","Ri"
96,45,49,7
96,50,54,11
96,55,59,12
96,60,64,13
96,65,69,11
96,70,74,7
96,75,79,5
96,80,84,3
96,85,999,3
100,0,4,0
100,5,9,0
100,10,14,0
100,15,19,0
100,20,24,0
100,25,29,2
100,30,34,3
100,35,39,4
100,40,44,19
100,45,49,54
100,50,54,99
100,55,59,155
100,60,64,252
100,65,69,333
100,70,74,344
100,75,79,257
100,80,84,148
100,85,999,92
104,0,4,0
104,5,9,0
104,10,14,0
104,15,19,2
104,20,24,34
104,25,29,55
104,30,34,43
104,35,39,58
104,40,44,99
104,45,49,150
104,50,54,224
104,55,59,287
104,60,64,348
104,65,69,402
104,70,74,360
104,75,79,256
104,80,84,172
104,85,999,114
108,0,4,0
108,5,9,0
108,10,14,1
108,15,19,0
108,20,24,1
108,25,29,4
108,30,34,5
108,35,39,6
108,40,44,10
108,45,49,11
108,50,54,14
108,55,59,19
108,60,64,24
108,65,69,23
108,70,74,16
108,75,79,10
108,80,84,6
108,85,999,4
112,0,4,0
112,5,9,0
112,10,14,0
112,15,19,0
112,20,24,1
112,25,29,3
112,30,34,6
112,35,39,16
112,40,44,32
112,45,49,70
112,50,54,132
112,55,59,234
112,60,64,416
112,65,69,506
112,70,74,461
112,75,79,241
112,80,84,186
112,85,999,124
116,0,4,0
116,5,9,0
116,10,14,0
116,15,19,0
116,20,24,0
116,25,29,5
116,30,34,10
116,35,39,12
116,40,44,23
116,45,49,34
116,50,54,73
116,55,59,105
116,60,64,101
116,65,69,97
116,70,74,95
116,75,79,73
116,80,84,48
116,85,999,33
120,0,4,0
120,5,9,0
120,10,14,1
120,15,19,1
120,20,24,10
120,25,29,11
120,30,34,18
120,35,39,15
120,40,44,24
120,45,49,34
120,50,54,42
120,55,59,48
120,60,64,44
120,65,69,36
120,70,74,27
120,75,79,19
120,80,84,12
120,85,999,6
124,0,4,0
124,5,9,0
124,10,14,0
124,15,19,3
124,20,24,10
124,25,29,16
124,30,34,68
124,35,39,155
124,40,44,271
124,45,49,400
124,50,54,578
124,55,59,825
124,60,64,1020
124,65,69,1025
124,70,74,969
124,75,79,806
124,80,84,572
124,85,999,620
132,0,4,0
132,5,9,0
132,10,14,0
132,15,19,0
132,20,24,0
132,25,29,0
132,30,34,0
132,35,39,0
132,40,44,0
132,45,49,0
132,50,54,2
132,55,59,1
132,60,64,0
132,65,69,2
132,70,74,1
132,75,79,1
132,80,84,0
132,85,999,0
140,0,4,0
140,5,9,0
140,10,14,1
140,15,19,3
140,20,24,5
140,25,29,3
140,30,34,2
140,35,39,3
140,40,44,4
140,45,49,5
140,50,54,6
140,55,59,8
140,60,64,8
140,65,69,7
140,70,74,5
140,75,79,4
140,80,84,2
140,85,999,1
144,0,4,0
144,5,9,0
144,10,14,0
144,15,19,0
144,20,24,1
144,25,29,13
144,30,34,13
144,35,39,17
144,40,44,34
144,45,49,59
144,50,54,98
144,55,59,158
144,60,64,205
144,65,69,218
144,70,74,205
144,75,79,149
144,80,84,76
144,85,999,54
148,0,4,0
148,5,9,0
148,10,14,0
148,15,19,0
148,20,24,0
148,25,29,0
148,30,34,0
148,35,39,23
148,40,44,0
148,45,49,33
148,50,54,19
148,55,59,0
148,60,64,8
148,65,69,12
148,70,74,0
148,75,79,9
148,80,84,0
148,85,999,0
152,0,4,0
152,5,9,0
152,10,14,0
152,15,19,0
152,20,24,3
152,25,29,10
152,30,34,19
152,35,39,21
152,40,44,42
152,45,49,79
152,50,54,126
152,55,59,192
152,60,64,262
152,65,69,314
152,70,74,304
152,75,79,246
152,80,84,182
152,85,999,190
156,0,4,0
156,5,9,0
156,10,14,35
156,15,19,68
156,20,24,178
156,25,29,590
156,30,34,1710
156,35,39,2444
156,40,44,4668
156,45,49,9855
156,50,54,23524
156,55,59,26951
156,60,64,29235
156,65,69,45066
156,70,74,38374
156,75,79,27244
156,80,84,18794
156,85,999,13371
170,0,4,0
170,5,9,0
170,10,14,0
170,15,19,8
170,20,24,13
170,25,29,30
170,30,34,38
170,35,39,67
170,40,44,114
170,45,49,168
170,50,54,243
170,55,59,340
170,60,64,403
