"ISOcode","AgeStart","AgeEnd","Di"
96,45,49,2
96,50,54,4
96,55,59,4
96,60,64,7
96,65,69,3
96,70,74,6
96,75,79,5
96,80,84,2
96,85,999,3
100,0,4,0
100,5,9,0
100,10,14,0
100,15,19,0
100,20,24,0
100,25,29,0
100,30,34,1
100,35,39,4
100,40,44,10
100,45,49,22
100,50,54,37
100,55,59,58
100,60,64,88
100,65,69,118
100,70,74,141
100,75,79,128
100,80,84,97
100,85,999,91
104,0,4,0
104,5,9,0
104,10,14,0
104,15,19,0
104,20,24,3
104,25,29,18
104,30,34,23
104,35,39,24
104,40,44,45
104,45,49,67
104,50,54,106
104,55,59,144
104,60,64,194
104,65,69,263
104,70,74,272
104,75,79,216
104,80,84,158
104,85,999,112
108,0,4,0
108,5,9,0
108,10,14,0
108,15,19,0
108,20,24,1
108,25,29,2
108,30,34,3
108,35,39,4
108,40,44,4
108,45,49,7
108,50,54,10
108,55,59,14
108,60,64,18
108,65,69,19
108,70,74,15
108,75,79,10
108,80,84,6
108,85,999,4
112,0,4,0
112,5,9,0
112,10,14,0
112,15,19,0
112,20,24,0
112,25,29,0
112,30,34,4
112,35,39,8
112,40,44,6
112,45,49,25
112,50,54,55
112,55,59,107
112,60,64,194
112,65,69,238
112,70,74,233
112,75,79,141
112,80,84,135
112,85,999,130
116,0,4,0
116,5,9,0
116,10,14,0
116,15,19,0
116,20,24,0
116,25,29,2
116,30,34,4
116,35,39,4
116,40,44,12
116,45,49,17
116,50,54,36
116,55,59,49
116,60,64,55
116,65,69,64
116,70,74,72
116,75,79,63
116,80,84,46
116,85,999,33
120,0,4,0
120,5,9,0
120,10,14,0
120,15,19,0
120,20,24,6
120,25,29,6
120,30,34,10
120,35,39,8
120,40,44,10
120,45,49,17
120,50,54,24
120,55,59,31
120,60,64,33
120,65,69,29
120,70,74,23
120,75,79,17
120,80,84,12
120,85,999,6
124,0,4,0
124,5,9,0
124,10,14,0
124,15,19,0
124,20,24,2
124,25,29,8
124,30,34,21
124,35,39,40
124,40,44,67
124,45,49,101
124,50,54,148
124,55,59,220
124,60,64,302
124,65,69,319
124,70,74,364
124,75,79,527
124,80,84,620
124,85,999,1023
132,0,4,0
132,5,9,0
132,10,14,0
132,15,19,0
132,20,24,0
132,25,29,0
132,30,34,0
132,35,39,0
132,40,44,0
132,45,49,1
132,50,54,0
132,55,59,0
132,60,64,0
132,65,69,0
132,70,74,1
132,75,79,0
132,80,84,1
132,85,999,1
140,0,4,0
140,5,9,0
140,10,14,0
140,15,19,0
140,20,24,5
140,25,29,3
140,30,34,1
140,35,39,3
140,40,44,2
140,45,49,3
140,50,54,3
140,55,59,8
140,60,64,6
140,65,69,7
140,70,74,5
140,75,79,4
140,80,84,2
140,85,999,1
144,0,4,0
144,5,9,0
144,10,14,0
144,15,19,0
144,20,24,0
144,25,29,7
144,30,34,6
144,35,39,7
144,40,44,13
144,45,49,30
144,50,54,50
144,55,59,77
144,60,64,96
144,65,69,100
144,70,74,97
144,75,79,74
144,80,84,41
144,85,999,32
148,0,4,0
148,5,9,0
148,10,14,0
148,15,19,0
148,20,24,0
148,25,29,0
148,30,34,0
148,35,39,19
148,40,44,0
148,45,49,25
148,50,54,15
148,55,59,0
148,60,64,6
148,65,69,9
148,70,74,0
148,75,79,8
148,80,84,0
148,85,999,0
152,0,4,0
152,5,9,0
152,10,14,0
152,15,19,0
152,20,24,0
152,25,29,1
152,30,34,6
152,35,39,11
152,40,44,16
152,45,49,28
152,50,54,47
152,55,59,67
152,60,64,95
152,65,69,125
152,70,74,142
152,75,79,137
152,80,84,119
152,85,999,148
156,0,4,0
156,5,9,0
156,10,14,14
156,15,19,30
156,20,24,70
156,25,29,192
156,30,34,552
156,35,39,818
156,40,44,1512
156,45,49,3244
156,50,54,7319
156,55,59,9017
156,60,64,10507
156,65,69,18471
156,70,74,19308
156,75,79,17835
156,80,84,16173
156,85,999,15429
170,0,4,0
170,5,9,0
170,10,14,0
170,15,19,1
170,20,24,5
170,25,29,16
170,30,34,22
170,35,39,33
170,40,44,36
170,45,49,54
170,50,54,86
170,55,59,129
170,60,64,164
